table,gender,risk,attained_age,q_ult
t1096,Male,SuperPref Nonsmoker,114,0.73465
t1096,Male,SuperPref Nonsmoker,115,0.77363
t1096,Male,SuperPref Nonsmoker,116,0.81476
t1096,Male,SuperPref Nonsmoker,117,0.85813
t1096,Male,SuperPref Nonsmoker,118,0.9038
t1096,Male,SuperPref Nonsmoker,119,0.95167
t1096,Male,SuperPref Nonsmoker,120,1
t1097,Male,Preferred Nonsmoker,16,5.6e-4
t1097,Male,Preferred Nonsmoker,17,6.3e-4
t1097,Male,Preferred Nonsmoker,18,6.7e-4
t1097,Male,Preferred Nonsmoker,19,6.9e-4
t1097,Male,Preferred Nonsmoker,20,6.9e-4
t1097,Male,Preferred Nonsmoker,21,7e-4
t1097,Male,Preferred Nonsmoker,22,7e-4
t1097,Male,Preferred Nonsmoker,23,7.1e-4
t1097,Male,Preferred Nonsmoker,24,7.1e-4
t1097,Male,Preferred Nonsmoker,25,7.3e-4
t1097,Male,Preferred Nonsmoker,26,7.6e-4
t1097,Male,Preferred Nonsmoker,27,7.8e-4
t1097,Male,Preferred Nonsmoker,28,7.8e-4
t1097,Male,Preferred Nonsmoker,29,7.7e-4
t1097,Male,Preferred Nonsmoker,30,7.6e-4
t1097,Male,Preferred Nonsmoker,31,7.6e-4
t1097,Male,Preferred Nonsmoker,32,7.7e-4
t1097,Male,Preferred Nonsmoker,33,7.9e-4
t1097,Male,Preferred Nonsmoker,34,8.1e-4
t1097,Male,Preferred Nonsmoker,35,8.4e-4
t1097,Male,Preferred Nonsmoker,36,8.9e-4
t1097,Male,Preferred Nonsmoker,37,9.4e-4
t1097,Male,Preferred Nonsmoker,38,0.001
t1097,Male,Preferred Nonsmoker,39,0.00106
t1097,Male,Preferred Nonsmoker,40,0.00114
t1097,Male,Preferred Nonsmoker,41,0.00124
t1097,Male,Preferred Nonsmoker,42,0.00136
t1097,Male,Preferred Nonsmoker,43,0.00149
t1097,Male,Preferred Nonsmoker,44,0.00165
t1097,Male,Preferred Nonsmoker,45,0.00182
t1097,Male,Preferred Nonsmoker,46,0.00198
t1097,Male,Preferred Nonsmoker,47,0.00212
t1097,Male,Preferred Nonsmoker,48,0.00225
t1097,Male,Preferred Nonsmoker,49,0.00242
t1097,Male,Preferred Nonsmoker,50,0.00262
t1097,Male,Preferred Nonsmoker,51,0.00288
t1097,Male,Preferred Nonsmoker,52,0.00321
t1097,Male,Preferred Nonsmoker,53,0.00359
t1097,Male,Preferred Nonsmoker,54,0.00406
t1097,Male,Preferred Nonsmoker,55,0.0046
t1097,Male,Preferred Nonsmoker,56,0.00518
t1097,Male,Preferred Nonsmoker,57,0.00574
t1097,Male,Preferred Nonsmoker,58,0.00632
t1097,Male,Preferred Nonsmoker,59,0.00697
t1097,Male,Preferred Nonsmoker,60,0.0077
t1097,Male,Preferred Nonsmoker,61,0.0086
t1097,Male,Preferred Nonsmoker,62,0.00965
t1097,Male,Preferred Nonsmoker,63,0.01079
t1097,Male,Preferred Nonsmoker,64,0.01198
t1097,Male,Preferred Nonsmoker,65,0.01322
t1097,Male,Preferred Nonsmoker,66,0.01448
t1097,Male,Preferred Nonsmoker,67,0.01579
t1097,Male,Preferred Nonsmoker,68,0.01718
t1097,Male,Preferred Nonsmoker,69,0.01874
t1097,Male,Preferred Nonsmoker,70,0.02055
t1097,Male,Preferred Nonsmoker,71,0.02275
t1097,Male,Preferred Nonsmoker,72,0.02533
t1097,Male,Preferred Nonsmoker,73,0.02805
t1097,Male,Preferred Nonsmoker,74,0.03096
t1097,Male,Preferred Nonsmoker,75,0.03434
t1097,Male,Preferred Nonsmoker,76,0.03837
t1097,Male,Preferred Nonsmoker,77,0.04309
t1097,Male,Preferred Nonsmoker,78,0.0486
t1097,Male,Preferred Nonsmoker,79,0.05483
t1097,Male,Preferred Nonsmoker,80,0.06186
t1097,Male,Preferred Nonsmoker,81,0.06959
t1097,Male,Preferred Nonsmoker,82,0.0779
t1097,Male,Preferred Nonsmoker,83,0.08709
t1097,Male,Preferred Nonsmoker,84,0.09739
t1097,Male,Preferred Nonsmoker,85,0.10896
t1097,Male,Preferred Nonsmoker,86,0.12181
t1097,Male,Preferred Nonsmoker,87,0.13587
t1097,Male,Preferred Nonsmoker,88,0.15102
t1097,Male,Preferred Nonsmoker,89,0.16713
t1097,Male,Preferred Nonsmoker,90,0.18346
t1097,Male,Preferred Nonsmoker,91,0.19988
t1097,Male,Preferred Nonsmoker,92,0.21729
t1097,Male,Preferred Nonsmoker,93,0.23582
t1097,Male,Preferred Nonsmoker,94,0.25551
t1097,Male,Preferred Nonsmoker,95,0.27421
t1097,Male,Preferred Nonsmoker,96,0.29118
t1097,Male,Preferred Nonsmoker,97,0.30926
t1097,Male,Preferred Nonsmoker,98,0.32854
t1097,Male,Preferred Nonsmoker,99,0.34911
t1097,Male,Preferred Nonsmoker,100,0.36876
t1097,Male,Preferred Nonsmoker,101,0.38619
t1097,Male,Preferred Nonsmoker,102,0.40473
t1097,Male,Preferred Nonsmoker,103,0.42444
t1097,Male,Preferred Nonsmoker,104,0.44527
t1097,Male,Preferred Nonsmoker,105,0.46721
t1097,Male,Preferred Nonsmoker,106,0.4905
t1097,Male,Preferred Nonsmoker,107,0.51521
t1097,Male,Preferred Nonsmoker,108,0.54143
t1097,Male,Preferred Nonsmoker,109,0.56922
t1097,Male,Preferred Nonsmoker,110,0.59865
t1097,Male,Preferred Nonsmoker,111,0.62983
t1097,Male,Preferred Nonsmoker,112,0.66283
t1097,Male,Preferred Nonsmoker,113,0.69775
t1097,Male,Preferred Nonsmoker,114,0.73465
t1097,Male,Preferred Nonsmoker,115,0.77363
t1097,Male,Preferred Nonsmoker,116,0.81476
t1097,Male,Preferred Nonsmoker,117,0.85813
t1097,Male,Preferred Nonsmoker,118,0.9038
t1097,Male,Preferred Nonsmoker,119,0.95167
t1097,Male,Preferred Nonsmoker,120,1
t1098,Male,Residual Nonsmoker,16,9e-4
t1098,Male,Residual Nonsmoker,17,0.00101
t1098,Male,Residual Nonsmoker,18,0.00106
t1098,Male,Residual Nonsmoker,19,0.00109
t1098,Male,Residual Nonsmoker,20,0.0011
t1098,Male,Residual Nonsmoker,21,0.0011
t1098,Male,Residual Nonsmoker,22,0.00111
t1098,Male,Residual Nonsmoker,23,0.00111
t1098,Male,Residual Nonsmoker,24,0.00112
t1098,Male,Residual Nonsmoker,25,0.00115
t1098,Male,Residual Nonsmoker,26,0.0012
t1098,Male,Residual Nonsmoker,27,0.00123
t1098,Male,Residual Nonsmoker,28,0.00121
t1098,Male,Residual Nonsmoker,29,0.00119
t1098,Male,Residual Nonsmoker,30,0.00117
t1098,Male,Residual Nonsmoker,31,0.00116
t1098,Male,Residual Nonsmoker,32,0.00117
t1098,Male,Residual Nonsmoker,33,0.00119
t1098,Male,Residual Nonsmoker,34,0.00123
t1098,Male,Residual Nonsmoker,35,0.00128
t1098,Male,Residual Nonsmoker,36,0.00134
t1098,Male,Residual Nonsmoker,37,0.00141
t1098,Male,Residual Nonsmoker,38,0.00151
t1098,Male,Residual Nonsmoker,39,0.00162
t1098,Male,Residual Nonsmoker,40,0.00174
t1098,Male,Residual Nonsmoker,41,0.00189
t1098,Male,Residual Nonsmoker,42,0.00207
t1098,Male,Residual Nonsmoker,43,0.00228
t1098,Male,Residual Nonsmoker,44,0.00253
t1098,Male,Residual Nonsmoker,45,0.00279
t1098,Male,Residual Nonsmoker,46,0.00306
t1098,Male,Residual Nonsmoker,47,0.00327
t1098,Male,Residual Nonsmoker,48,0.00345
t1098,Male,Residual Nonsmoker,49,0.00367
t1098,Male,Residual Nonsmoker,50,0.00394
t1098,Male,Residual Nonsmoker,51,0.00429
t1098,Male,Residual Nonsmoker,52,0.0047
t1098,Male,Residual Nonsmoker,53,0.0052
t1098,Male,Residual Nonsmoker,54,0.00582
t1098,Male,Residual Nonsmoker,55,0.0065
t1098,Male,Residual Nonsmoker,56,0.00722
t1098,Male,Residual Nonsmoker,57,0.00791
t1098,Male,Residual Nonsmoker,58,0.00858
t1098,Male,Residual Nonsmoker,59,0.00939
t1098,Male,Residual Nonsmoker,60,0.0104
t1098,Male,Residual Nonsmoker,61,0.01163
t1098,Male,Residual Nonsmoker,62,0.01307
t1098,Male,Residual Nonsmoker,63,0.01462
t1098,Male,Residual Nonsmoker,64,0.01626
t1098,Male,Residual Nonsmoker,65,0.01796
t1098,Male,Residual Nonsmoker,66,0.01968
t1098,Male,Residual Nonsmoker,67,0.02148
t1098,Male,Residual Nonsmoker,68,0.02336
t1098,Male,Residual Nonsmoker,69,0.02549
t1098,Male,Residual Nonsmoker,70,0.02796
t1098,Male,Residual Nonsmoker,71,0.03098
t1098,Male,Residual Nonsmoker,72,0.03451
t1098,Male,Residual Nonsmoker,73,0.03822
t1098,Male,Residual Nonsmoker,74,0.04221
t1098,Male,Residual Nonsmoker,75,0.04644
t1098,Male,Residual Nonsmoker,76,0.05108
t1098,Male,Residual Nonsmoker,77,0.05647
t1098,Male,Residual Nonsmoker,78,0.0627
t1098,Male,Residual Nonsmoker,79,0.06966
t1098,Male,Residual Nonsmoker,80,0.07736
t1098,Male,Residual Nonsmoker,81,0.08569
t1098,Male,Residual Nonsmoker,82,0.09444
t1098,Male,Residual Nonsmoker,83,0.10393
t1098,Male,Residual Nonsmoker,84,0.11443
t1098,Male,Residual Nonsmoker,85,0.12606
t1098,Male,Residual Nonsmoker,86,0.13876
t1098,Male,Residual Nonsmoker,87,0.15239
t1098,Male,Residual Nonsmoker,88,0.16678
t1098,Male,Residual Nonsmoker,89,0.18174
t1098,Male,Residual Nonsmoker,90,0.19647
t1098,Male,Residual Nonsmoker,91,0.21079
t1098,Male,Residual Nonsmoker,92,0.22567
t1098,Male,Residual Nonsmoker,93,0.24127
t1098,Male,Residual Nonsmoker,94,0.25759
t1098,Male,Residual Nonsmoker,95,0.27421
t1098,Male,Residual Nonsmoker,96,0.29118
t1098,Male,Residual Nonsmoker,97,0.30926
t1098,Male,Residual Nonsmoker,98,0.32854
t1098,Male,Residual Nonsmoker,99,0.34911
t1098,Male,Residual Nonsmoker,100,0.36876
t1098,Male,Residual Nonsmoker,101,0.38619
t1098,Male,Residual Nonsmoker,102,0.40473
t1098,Male,Residual Nonsmoker,103,0.42444
t1098,Male,Residual Nonsmoker,104,0.44527
t1098,Male,Residual Nonsmoker,105,0.46721
t1098,Male,Residual Nonsmoker,106,0.4905
t1098,Male,Residual Nonsmoker,107,0.51521
t1098,Male,Residual Nonsmoker,108,0.54143
t1098,Male,Residual Nonsmoker,109,0.56922
t1098,Male,Residual Nonsmoker,110,0.59865
t1098,Male,Residual Nonsmoker,111,0.62983
t1098,Male,Residual Nonsmoker,112,0.66283
t1098,Male,Residual Nonsmoker,113,0.69775
t1098,Male,Residual Nonsmoker,114,0.73465
t1098,Male,Residual Nonsmoker,115,0.77363
t1098,Male,Residual Nonsmoker,116,0.81476
t1098,Male,Residual Nonsmoker,117,0.85813
t1098,Male,Residual Nonsmoker,118,0.9038
t1098,Male,Residual Nonsmoker,119,0.95167
t1098,Male,Residual Nonsmoker,120,1
t1099,Male,Preferred Smoker,16,6.2e-4
t1099,Male,Preferred Smoker,17,7.4e-4
t1099,Male,Preferred Smoker,18,8.3e-4
t1099,Male,Preferred Smoker,19,8.9e-4
t1099,Male,Preferred Smoker,20,0.00093000000000000005
t1099,Male,Preferred Smoker,21,9.8e-4
t1099,Male,Preferred Smoker,22,0.00103
t1099,Male,Preferred Smoker,23,0.00108
t1099,Male,Preferred Smoker,24,0.00114
t1099,Male,Preferred Smoker,25,0.0012
t1099,Male,Preferred Smoker,26,0.00127
t1099,Male,Preferred Smoker,27,0.0013
t1099,Male,Preferred Smoker,28,0.00131
t1099,Male,Preferred Smoker,29,0.00131
t1099,Male,Preferred Smoker,30,0.0013
t1099,Male,Preferred Smoker,31,0.00131
t1099,Male,Preferred Smoker,32,0.00134
t1099,Male,Preferred Smoker,33,0.00139
t1099,Male,Preferred Smoker,34,0.00144
t1099,Male,Preferred Smoker,35,0.0015
t1099,Male,Preferred Smoker,36,0.00159
t1099,Male,Preferred Smoker,37,0.00169
t1099,Male,Preferred Smoker,38,0.00181
t1099,Male,Preferred Smoker,39,0.00195
t1099,Male,Preferred Smoker,40,0.00211
t1099,Male,Preferred Smoker,41,0.00232
t1099,Male,Preferred Smoker,42,0.00255
t1099,Male,Preferred Smoker,43,0.00283
t1099,Male,Preferred Smoker,44,0.00315
t1099,Male,Preferred Smoker,45,0.00346
t1099,Male,Preferred Smoker,46,0.00378
t1099,Male,Preferred Smoker,47,0.00404
t1099,Male,Preferred Smoker,48,0.00425
t1099,Male,Preferred Smoker,49,0.00454
t1099,Male,Preferred Smoker,50,0.00494
t1099,Male,Preferred Smoker,51,0.00545
t1099,Male,Preferred Smoker,52,0.00607
t1099,Male,Preferred Smoker,53,0.00682
t1099,Male,Preferred Smoker,54,0.00771
t1099,Male,Preferred Smoker,55,0.00868
t1099,Male,Preferred Smoker,56,0.00969
t1099,Male,Preferred Smoker,57,0.01066
t1099,Male,Preferred Smoker,58,0.01161
t1099,Male,Preferred Smoker,59,0.01266
t1099,Male,Preferred Smoker,60,0.01386
t1099,Male,Preferred Smoker,61,0.01532
t1099,Male,Preferred Smoker,62,0.01701
t1099,Male,Preferred Smoker,63,0.01881
t1099,Male,Preferred Smoker,64,0.02062
t1099,Male,Preferred Smoker,65,0.02239
t1099,Male,Preferred Smoker,66,0.02411
t1099,Male,Preferred Smoker,67,0.02583
t1099,Male,Preferred Smoker,68,0.0276
t1099,Male,Preferred Smoker,69,0.02955
t1099,Male,Preferred Smoker,70,0.03178
t1099,Male,Preferred Smoker,71,0.03453
t1099,Male,Preferred Smoker,72,0.03771
t1099,Male,Preferred Smoker,73,0.04092
t1099,Male,Preferred Smoker,74,0.0444
t1099,Male,Preferred Smoker,75,0.04857
t1099,Male,Preferred Smoker,76,0.0535
t1099,Male,Preferred Smoker,77,0.05921
t1099,Male,Preferred Smoker,78,0.06579
t1099,Male,Preferred Smoker,79,0.07312
t1099,Male,Preferred Smoker,80,0.08121
t1099,Male,Preferred Smoker,81,0.08993
t1099,Male,Preferred Smoker,82,0.09904
t1099,Male,Preferred Smoker,83,0.10889
t1099,Male,Preferred Smoker,84,0.12008
t1099,Male,Preferred Smoker,85,0.13284
t1099,Male,Preferred Smoker,86,0.14682
t1099,Male,Preferred Smoker,87,0.16187000000000001
t1099,Male,Preferred Smoker,88,0.1778
t1099,Male,Preferred Smoker,89,0.19441
t1099,Male,Preferred Smoker,90,0.21082
t1099,Male,Preferred Smoker,91,0.22683
t1099,Male,Preferred Smoker,92,0.24347
t1099,Male,Preferred Smoker,93,0.26087
t1099,Male,Preferred Smoker,94,0.27955
t1099,Male,Preferred Smoker,95,0.29739
t1099,Male,Preferred Smoker,96,0.31293
t1099,Male,Preferred Smoker,97,0.32931
t1099,Male,Preferred Smoker,98,0.3466
t1099,Male,Preferred Smoker,99,0.36485
t1099,Male,Preferred Smoker,100,0.38192
t1099,Male,Preferred Smoker,101,0.39651
t1099,Male,Preferred Smoker,102,0.41185
t1099,Male,Preferred Smoker,103,0.42796
t1099,Male,Preferred Smoker,104,0.44633
t1099,Male,Preferred Smoker,105,0.4682
t1099,Male,Preferred Smoker,106,0.49142
t1099,Male,Preferred Smoker,107,0.51607
t1099,Male,Preferred Smoker,108,0.54221
t1099,Male,Preferred Smoker,109,0.56994
t1099,Male,Preferred Smoker,110,0.5993
t1099,Male,Preferred Smoker,111,0.63041
t1099,Male,Preferred Smoker,112,0.66335
t1099,Male,Preferred Smoker,113,0.69819
t1099,Male,Preferred Smoker,114,0.73503
t1099,Male,Preferred Smoker,115,0.77395
t1099,Male,Preferred Smoker,116,0.81502
t1099,Male,Preferred Smoker,117,0.85832
t1099,Male,Preferred Smoker,118,0.90392
t1099,Male,Preferred Smoker,119,0.95174
t1099,Male,Preferred Smoker,120,1
t1100,Male,Residual Smoker,16,9.6e-4
t1100,Male,Residual Smoker,17,0.00115
t1100,Male,Residual Smoker,18,0.00128
t1100,Male,Residual Smoker,19,0.00138
t1100,Male,Residual Smoker,20,0.00146
t1100,Male,Residual Smoker,21,0.00152
t1100,Male,Residual Smoker,22,0.00159
t1100,Male,Residual Smoker,23,0.00167
t1100,Male,Residual Smoker,24,0.00177
t1100,Male,Residual Smoker,25,0.00187
t1100,Male,Residual Smoker,26,0.00197
t1100,Male,Residual Smoker,27,0.00202
t1100,Male,Residual Smoker,28,0.00203
t1100,Male,Residual Smoker,29,0.00202
t1100,Male,Residual Smoker,30,0.00202
t1100,Male,Residual Smoker,31,0.00202
t1100,Male,Residual Smoker,32,0.00205
t1100,Male,Residual Smoker,33,0.00212
t1100,Male,Residual Smoker,34,0.0022
t1100,Male,Residual Smoker,35,0.00229
t1100,Male,Residual Smoker,36,0.00242
t1100,Male,Residual Smoker,37,0.00258
t1100,Male,Residual Smoker,38,0.00277
t1100,Male,Residual Smoker,39,0.00298
t1100,Male,Residual Smoker,40,0.00323
t1100,Male,Residual Smoker,41,0.00355
t1100,Male,Residual Smoker,42,0.00392
t1100,Male,Residual Smoker,43,0.00436
t1100,Male,Residual Smoker,44,0.00485
t1100,Male,Residual Smoker,45,0.00535
t1100,Male,Residual Smoker,46,0.00585
t1100,Male,Residual Smoker,47,0.00625
t1100,Male,Residual Smoker,48,0.00656
t1100,Male,Residual Smoker,49,0.00696
t1100,Male,Residual Smoker,50,0.00746
t1100,Male,Residual Smoker,51,0.00811
t1100,Male,Residual Smoker,52,0.0089
t1100,Male,Residual Smoker,53,0.00986
t1100,Male,Residual Smoker,54,0.01098
t1100,Male,Residual Smoker,55,0.01218
t1100,Male,Residual Smoker,56,0.01341
t1100,Male,Residual Smoker,57,0.01454
t1100,Male,Residual Smoker,58,0.0156
t1100,Male,Residual Smoker,59,0.01689
t1100,Male,Residual Smoker,60,0.0185
t1100,Male,Residual Smoker,61,0.02047
t1100,Male,Residual Smoker,62,0.02274
t1100,Male,Residual Smoker,63,0.02516
t1100,Male,Residual Smoker,64,0.02759
t1100,Male,Residual Smoker,65,0.02997
t1100,Male,Residual Smoker,66,0.03226
t1100,Male,Residual Smoker,67,0.03458
t1100,Male,Residual Smoker,68,0.03694
t1100,Male,Residual Smoker,69,0.03954
t1100,Male,Residual Smoker,70,0.04253
t1100,Male,Residual Smoker,71,0.04621
t1100,Male,Residual Smoker,72,0.05046
t1100,Male,Residual Smoker,73,0.05475
t1100,Male,Residual Smoker,74,0.05941
t1100,Male,Residual Smoker,75,0.06446
t1100,Male,Residual Smoker,76,0.06993
t1100,Male,Residual Smoker,77,0.07624
t1100,Male,Residual Smoker,78,0.08345
t1100,Male,Residual Smoker,79,0.09137
t1100,Male,Residual Smoker,80,0.09999
t1100,Male,Residual Smoker,81,0.10911
t1100,Male,Residual Smoker,82,0.11841
t1100,Male,Residual Smoker,83,0.12828
t1100,Male,Residual Smoker,84,0.1394
t1100,Male,Residual Smoker,85,0.15199
t1100,Male,Residual Smoker,86,0.16558
t1100,Male,Residual Smoker,87,0.17994
t1100,Male,Residual Smoker,88,0.19483
t1100,Male,Residual Smoker,89,0.21001
t1100,Male,Residual Smoker,90,0.22454
t1100,Male,Residual Smoker,91,0.2382
t1100,Male,Residual Smoker,92,0.25211
t1100,Male,Residual Smoker,93,0.26643
t1100,Male,Residual Smoker,94,0.28166
t1100,Male,Residual Smoker,95,0.29739
t1100,Male,Residual Smoker,96,0.31293
t1100,Male,Residual Smoker,97,0.32931
t1100,Male,Residual Smoker,98,0.3466
t1100,Male,Residual Smoker,99,0.36485
t1100,Male,Residual Smoker,100,0.38192
t1100,Male,Residual Smoker,101,0.39651
t1100,Male,Residual Smoker,102,0.41185
t1100,Male,Residual Smoker,103,0.42796
t1100,Male,Residual Smoker,104,0.44633
t1100,Male,Residual Smoker,105,0.4682
t1100,Male,Residual Smoker,106,0.49142
t1100,Male,Residual Smoker,107,0.51607
t1100,Male,Residual Smoker,108,0.54221
t1100,Male,Residual Smoker,109,0.56994
t1100,Male,Residual Smoker,110,0.59931
t1100,Male,Residual Smoker,111,0.63042
t1100,Male,Residual Smoker,112,0.66335
t1100,Male,Residual Smoker,113,0.69819
t1100,Male,Residual Smoker,114,0.73503
t1100,Male,Residual Smoker,115,0.77395
t1100,Male,Residual Smoker,116,0.81502
t1100,Male,Residual Smoker,117,0.85832
t1100,Male,Residual Smoker,118,0.90392
t1100,Male,Residual Smoker,119,0.95174
t1100,Male,Residual Smoker,120,1
t1101,Female,SuperPref Nonsmoker,16,2.3e-4
t1101,Female,SuperPref Nonsmoker,17,2.5e-4
t1101,Female,SuperPref Nonsmoker,18,2.5e-4
t1101,Female,SuperPref Nonsmoker,19,2.6e-4
t1101,Female,SuperPref Nonsmoker,20,2.7e-4
t1101,Female,SuperPref Nonsmoker,21,2.8e-4
t1101,Female,SuperPref Nonsmoker,22,2.8e-4
t1101,Female,SuperPref Nonsmoker,23,2.9e-4
t1101,Female,SuperPref Nonsmoker,24,3e-4
t1101,Female,SuperPref Nonsmoker,25,3.1e-4
t1101,Female,SuperPref Nonsmoker,26,3.3e-4
t1101,Female,SuperPref Nonsmoker,27,3.5e-4
t1101,Female,SuperPref Nonsmoker,28,3.7e-4
t1101,Female,SuperPref Nonsmoker,29,3.8e-4
t1101,Female,SuperPref Nonsmoker,30,4e-4
t1101,Female,SuperPref Nonsmoker,31,4.2e-4
t1101,Female,SuperPref Nonsmoker,32,4.5e-4
t1101,Female,SuperPref Nonsmoker,33,4.8e-4
t1101,Female,SuperPref Nonsmoker,34,5.2e-4
t1101,Female,SuperPref Nonsmoker,35,5.5e-4
t1101,Female,SuperPref Nonsmoker,36,5.9e-4
t1101,Female,SuperPref Nonsmoker,37,6.3e-4
t1101,Female,SuperPref Nonsmoker,38,6.6e-4
t1101,Female,SuperPref Nonsmoker,39,7e-4
t1101,Female,SuperPref Nonsmoker,40,7.4e-4
t1101,Female,SuperPref Nonsmoker,41,7.9e-4
t1101,Female,SuperPref Nonsmoker,42,8.4e-4
t1101,Female,SuperPref Nonsmoker,43,9e-4
t1101,Female,SuperPref Nonsmoker,44,9.8e-4
t1101,Female,SuperPref Nonsmoker,45,0.00107
t1101,Female,SuperPref Nonsmoker,46,0.00117
t1101,Female,SuperPref Nonsmoker,47,0.0013
t1101,Female,SuperPref Nonsmoker,48,0.00145
