table,gender,tobacco,relative_risk,attained_age,q_ult
t3209,Female,Non-Smoker,RR50,56,0.0012
t3209,Female,Non-Smoker,RR50,57,0.00129
t3209,Female,Non-Smoker,RR50,58,0.00139
t3209,Female,Non-Smoker,RR50,59,0.00151
t3209,Female,Non-Smoker,RR50,60,0.00165
t3209,Female,Non-Smoker,RR50,61,0.00183
t3209,Female,Non-Smoker,RR50,62,0.00204
t3209,Female,Non-Smoker,RR50,63,0.00228
t3209,Female,Non-Smoker,RR50,64,0.00256
t3209,Female,Non-Smoker,RR50,65,0.00287
t3209,Female,Non-Smoker,RR50,66,0.00322
t3209,Female,Non-Smoker,RR50,67,0.0036
t3209,Female,Non-Smoker,RR50,68,0.00403
t3209,Female,Non-Smoker,RR50,69,0.00455
t3209,Female,Non-Smoker,RR50,70,0.00515
t3209,Female,Non-Smoker,RR50,71,0.00588
t3209,Female,Non-Smoker,RR50,72,0.00675
t3209,Female,Non-Smoker,RR50,73,0.00778
t3209,Female,Non-Smoker,RR50,74,0.009
t3209,Female,Non-Smoker,RR50,75,0.01042
t3209,Female,Non-Smoker,RR50,76,0.01209
t3209,Female,Non-Smoker,RR50,77,0.01407
t3209,Female,Non-Smoker,RR50,78,0.01646
t3209,Female,Non-Smoker,RR50,79,0.01936
t3209,Female,Non-Smoker,RR50,80,0.02279
t3209,Female,Non-Smoker,RR50,81,0.02665
t3209,Female,Non-Smoker,RR50,82,0.03074
t3209,Female,Non-Smoker,RR50,83,0.03532
t3209,Female,Non-Smoker,RR50,84,0.04176
t3209,Female,Non-Smoker,RR50,85,0.04922
t3209,Female,Non-Smoker,RR50,86,0.05673
t3209,Female,Non-Smoker,RR50,87,0.06546
t3209,Female,Non-Smoker,RR50,88,0.07551
t3209,Female,Non-Smoker,RR50,89,0.08674
t3209,Female,Non-Smoker,RR50,90,0.09919
t3209,Female,Non-Smoker,RR50,91,0.11291
t3209,Female,Non-Smoker,RR50,92,0.12798
t3209,Female,Non-Smoker,RR50,93,0.1442
t3209,Female,Non-Smoker,RR50,94,0.1617
t3209,Female,Non-Smoker,RR50,95,0.18074
t3209,Female,Non-Smoker,RR50,96,0.20127
t3209,Female,Non-Smoker,RR50,97,0.22374
t3209,Female,Non-Smoker,RR50,98,0.24802
t3209,Female,Non-Smoker,RR50,99,0.27379
t3209,Female,Non-Smoker,RR50,100,0.29921
t3209,Female,Non-Smoker,RR50,101,0.32314
t3209,Female,Non-Smoker,RR50,102,0.34698
t3209,Female,Non-Smoker,RR50,103,0.37036
t3209,Female,Non-Smoker,RR50,104,0.39292
t3209,Female,Non-Smoker,RR50,105,0.4143
t3209,Female,Non-Smoker,RR50,106,0.43413
t3209,Female,Non-Smoker,RR50,107,0.45205
t3209,Female,Non-Smoker,RR50,108,0.46769
t3209,Female,Non-Smoker,RR50,109,0.48068
t3209,Female,Non-Smoker,RR50,110,0.49065
t3209,Female,Non-Smoker,RR50,111,0.49723
t3209,Female,Non-Smoker,RR50,112,0.5
t3209,Female,Non-Smoker,RR50,113,0.5
t3209,Female,Non-Smoker,RR50,114,0.5
t3209,Female,Non-Smoker,RR50,115,0.5
t3209,Female,Non-Smoker,RR50,116,0.5
t3209,Female,Non-Smoker,RR50,117,0.5
t3209,Female,Non-Smoker,RR50,118,0.5
t3209,Female,Non-Smoker,RR50,119,0.5
t3209,Female,Non-Smoker,RR50,120,0.5
t3210,Female,Non-Smoker,RR60,18,2e-4
t3210,Female,Non-Smoker,RR60,19,2e-4
t3210,Female,Non-Smoker,RR60,20,1.9e-4
t3210,Female,Non-Smoker,RR60,21,1.9e-4
t3210,Female,Non-Smoker,RR60,22,1.9e-4
t3210,Female,Non-Smoker,RR60,23,1.9e-4
t3210,Female,Non-Smoker,RR60,24,1.9e-4
t3210,Female,Non-Smoker,RR60,25,1.9e-4
t3210,Female,Non-Smoker,RR60,26,1.9e-4
t3210,Female,Non-Smoker,RR60,27,2e-4
t3210,Female,Non-Smoker,RR60,28,2.2e-4
t3210,Female,Non-Smoker,RR60,29,2.3e-4
t3210,Female,Non-Smoker,RR60,30,2.4e-4
t3210,Female,Non-Smoker,RR60,31,2.6e-4
t3210,Female,Non-Smoker,RR60,32,2.9e-4
t3210,Female,Non-Smoker,RR60,33,3.4e-4
t3210,Female,Non-Smoker,RR60,34,3.9e-4
t3210,Female,Non-Smoker,RR60,35,4.5e-4
t3210,Female,Non-Smoker,RR60,36,5.1e-4
t3210,Female,Non-Smoker,RR60,37,5.6e-4
t3210,Female,Non-Smoker,RR60,38,6e-4
t3210,Female,Non-Smoker,RR60,39,6.2e-4
t3210,Female,Non-Smoker,RR60,40,6.3e-4
t3210,Female,Non-Smoker,RR60,41,6.3e-4
t3210,Female,Non-Smoker,RR60,42,6.3e-4
t3210,Female,Non-Smoker,RR60,43,6.3e-4
t3210,Female,Non-Smoker,RR60,44,6.4e-4
t3210,Female,Non-Smoker,RR60,45,6.5e-4
t3210,Female,Non-Smoker,RR60,46,6.8e-4
t3210,Female,Non-Smoker,RR60,47,7e-4
t3210,Female,Non-Smoker,RR60,48,7.3e-4
t3210,Female,Non-Smoker,RR60,49,7.8e-4
t3210,Female,Non-Smoker,RR60,50,8.3e-4
t3210,Female,Non-Smoker,RR60,51,9e-4
t3210,Female,Non-Smoker,RR60,52,0.001
t3210,Female,Non-Smoker,RR60,53,0.00111
t3210,Female,Non-Smoker,RR60,54,0.00123
t3210,Female,Non-Smoker,RR60,55,0.00135
t3210,Female,Non-Smoker,RR60,56,0.00146
t3210,Female,Non-Smoker,RR60,57,0.00158
t3210,Female,Non-Smoker,RR60,58,0.00171
t3210,Female,Non-Smoker,RR60,59,0.00185
t3210,Female,Non-Smoker,RR60,60,0.00202
t3210,Female,Non-Smoker,RR60,61,0.00223
t3210,Female,Non-Smoker,RR60,62,0.00247
t3210,Female,Non-Smoker,RR60,63,0.00275
t3210,Female,Non-Smoker,RR60,64,0.00306
t3210,Female,Non-Smoker,RR60,65,0.00341
t3210,Female,Non-Smoker,RR60,66,0.00379
t3210,Female,Non-Smoker,RR60,67,0.0042
t3210,Female,Non-Smoker,RR60,68,0.00468
t3210,Female,Non-Smoker,RR60,69,0.00523
t3210,Female,Non-Smoker,RR60,70,0.00588
t3210,Female,Non-Smoker,RR60,71,0.00665
t3210,Female,Non-Smoker,RR60,72,0.00758
t3210,Female,Non-Smoker,RR60,73,0.00866
t3210,Female,Non-Smoker,RR60,74,0.00994
t3210,Female,Non-Smoker,RR60,75,0.01143
t3210,Female,Non-Smoker,RR60,76,0.01316
t3210,Female,Non-Smoker,RR60,77,0.01522
t3210,Female,Non-Smoker,RR60,78,0.01768
t3210,Female,Non-Smoker,RR60,79,0.02066
t3210,Female,Non-Smoker,RR60,80,0.02418
t3210,Female,Non-Smoker,RR60,81,0.02805
t3210,Female,Non-Smoker,RR60,82,0.03213
t3210,Female,Non-Smoker,RR60,83,0.03677
t3210,Female,Non-Smoker,RR60,84,0.0433
t3210,Female,Non-Smoker,RR60,85,0.05083
t3210,Female,Non-Smoker,RR60,86,0.05837
t3210,Female,Non-Smoker,RR60,87,0.06713
t3210,Female,Non-Smoker,RR60,88,0.07718
t3210,Female,Non-Smoker,RR60,89,0.08838
t3210,Female,Non-Smoker,RR60,90,0.10071
t3210,Female,Non-Smoker,RR60,91,0.1142
t3210,Female,Non-Smoker,RR60,92,0.12899
t3210,Female,Non-Smoker,RR60,93,0.14486
t3210,Female,Non-Smoker,RR60,94,0.16195
t3210,Female,Non-Smoker,RR60,95,0.18074
t3210,Female,Non-Smoker,RR60,96,0.20127
t3210,Female,Non-Smoker,RR60,97,0.22374
t3210,Female,Non-Smoker,RR60,98,0.24802
t3210,Female,Non-Smoker,RR60,99,0.27379
t3210,Female,Non-Smoker,RR60,100,0.29921
t3210,Female,Non-Smoker,RR60,101,0.32314
t3210,Female,Non-Smoker,RR60,102,0.34698
t3210,Female,Non-Smoker,RR60,103,0.37036
t3210,Female,Non-Smoker,RR60,104,0.39292
t3210,Female,Non-Smoker,RR60,105,0.4143
t3210,Female,Non-Smoker,RR60,106,0.43413
t3210,Female,Non-Smoker,RR60,107,0.45205
t3210,Female,Non-Smoker,RR60,108,0.46769
t3210,Female,Non-Smoker,RR60,109,0.48068
t3210,Female,Non-Smoker,RR60,110,0.49065
t3210,Female,Non-Smoker,RR60,111,0.49723
t3210,Female,Non-Smoker,RR60,112,0.5
t3210,Female,Non-Smoker,RR60,113,0.5
t3210,Female,Non-Smoker,RR60,114,0.5
t3210,Female,Non-Smoker,RR60,115,0.5
t3210,Female,Non-Smoker,RR60,116,0.5
t3210,Female,Non-Smoker,RR60,117,0.5
t3210,Female,Non-Smoker,RR60,118,0.5
t3210,Female,Non-Smoker,RR60,119,0.5
t3210,Female,Non-Smoker,RR60,120,0.5
t3211,Female,Non-Smoker,RR70,18,2.2e-4
t3211,Female,Non-Smoker,RR70,19,2.2e-4
t3211,Female,Non-Smoker,RR70,20,2.1e-4
t3211,Female,Non-Smoker,RR70,21,2.1e-4
t3211,Female,Non-Smoker,RR70,22,2.1e-4
t3211,Female,Non-Smoker,RR70,23,2.1e-4
t3211,Female,Non-Smoker,RR70,24,2.1e-4
t3211,Female,Non-Smoker,RR70,25,2.1e-4
t3211,Female,Non-Smoker,RR70,26,2.1e-4
t3211,Female,Non-Smoker,RR70,27,2.2e-4
t3211,Female,Non-Smoker,RR70,28,2.4e-4
t3211,Female,Non-Smoker,RR70,29,2.6e-4
t3211,Female,Non-Smoker,RR70,30,2.7e-4
t3211,Female,Non-Smoker,RR70,31,2.9e-4
t3211,Female,Non-Smoker,RR70,32,3.2e-4
t3211,Female,Non-Smoker,RR70,33,3.7e-4
t3211,Female,Non-Smoker,RR70,34,4.3e-4
t3211,Female,Non-Smoker,RR70,35,4.9e-4
t3211,Female,Non-Smoker,RR70,36,5.6e-4
t3211,Female,Non-Smoker,RR70,37,6.1e-4
t3211,Female,Non-Smoker,RR70,38,6.6e-4
t3211,Female,Non-Smoker,RR70,39,6.8e-4
t3211,Female,Non-Smoker,RR70,40,6.9e-4
t3211,Female,Non-Smoker,RR70,41,6.9e-4
t3211,Female,Non-Smoker,RR70,42,6.9e-4
t3211,Female,Non-Smoker,RR70,43,7e-4
t3211,Female,Non-Smoker,RR70,44,7e-4
t3211,Female,Non-Smoker,RR70,45,7.2e-4
t3211,Female,Non-Smoker,RR70,46,7.4e-4
t3211,Female,Non-Smoker,RR70,47,7.8e-4
t3211,Female,Non-Smoker,RR70,48,8.2e-4
t3211,Female,Non-Smoker,RR70,49,8.8e-4
t3211,Female,Non-Smoker,RR70,50,9.5e-4
t3211,Female,Non-Smoker,RR70,51,0.00104
t3211,Female,Non-Smoker,RR70,52,0.00115
t3211,Female,Non-Smoker,RR70,53,0.00129
t3211,Female,Non-Smoker,RR70,54,0.00144
t3211,Female,Non-Smoker,RR70,55,0.00159
t3211,Female,Non-Smoker,RR70,56,0.00173
t3211,Female,Non-Smoker,RR70,57,0.00188
t3211,Female,Non-Smoker,RR70,58,0.00203
t3211,Female,Non-Smoker,RR70,59,0.0022
t3211,Female,Non-Smoker,RR70,60,0.0024
t3211,Female,Non-Smoker,RR70,61,0.00263
t3211,Female,Non-Smoker,RR70,62,0.00291
t3211,Female,Non-Smoker,RR70,63,0.00322
t3211,Female,Non-Smoker,RR70,64,0.00357
t3211,Female,Non-Smoker,RR70,65,0.00395
t3211,Female,Non-Smoker,RR70,66,0.00436
t3211,Female,Non-Smoker,RR70,67,0.00481
t3211,Female,Non-Smoker,RR70,68,0.00532
t3211,Female,Non-Smoker,RR70,69,0.0059
t3211,Female,Non-Smoker,RR70,70,0.0066
t3211,Female,Non-Smoker,RR70,71,0.00742
t3211,Female,Non-Smoker,RR70,72,0.0084
t3211,Female,Non-Smoker,RR70,73,0.00955
t3211,Female,Non-Smoker,RR70,74,0.01089
t3211,Female,Non-Smoker,RR70,75,0.01244
t3211,Female,Non-Smoker,RR70,76,0.01424
t3211,Female,Non-Smoker,RR70,77,0.01637
t3211,Female,Non-Smoker,RR70,78,0.0189
t3211,Female,Non-Smoker,RR70,79,0.02196
t3211,Female,Non-Smoker,RR70,80,0.02558
t3211,Female,Non-Smoker,RR70,81,0.02945
t3211,Female,Non-Smoker,RR70,82,0.03352
t3211,Female,Non-Smoker,RR70,83,0.03822
t3211,Female,Non-Smoker,RR70,84,0.04483
t3211,Female,Non-Smoker,RR70,85,0.05245
t3211,Female,Non-Smoker,RR70,86,0.06002
t3211,Female,Non-Smoker,RR70,87,0.0688
t3211,Female,Non-Smoker,RR70,88,0.07885
t3211,Female,Non-Smoker,RR70,89,0.09002
t3211,Female,Non-Smoker,RR70,90,0.10223
t3211,Female,Non-Smoker,RR70,91,0.1155
t3211,Female,Non-Smoker,RR70,92,0.13
t3211,Female,Non-Smoker,RR70,93,0.14552
t3211,Female,Non-Smoker,RR70,94,0.16219
t3211,Female,Non-Smoker,RR70,95,0.18074
t3211,Female,Non-Smoker,RR70,96,0.20127
t3211,Female,Non-Smoker,RR70,97,0.22374
t3211,Female,Non-Smoker,RR70,98,0.24802
t3211,Female,Non-Smoker,RR70,99,0.27379
t3211,Female,Non-Smoker,RR70,100,0.29921
t3211,Female,Non-Smoker,RR70,101,0.32314
t3211,Female,Non-Smoker,RR70,102,0.34698
t3211,Female,Non-Smoker,RR70,103,0.37036
t3211,Female,Non-Smoker,RR70,104,0.39292
t3211,Female,Non-Smoker,RR70,105,0.4143
t3211,Female,Non-Smoker,RR70,106,0.43413
t3211,Female,Non-Smoker,RR70,107,0.45205
t3211,Female,Non-Smoker,RR70,108,0.46769
t3211,Female,Non-Smoker,RR70,109,0.48068
t3211,Female,Non-Smoker,RR70,110,0.49065
t3211,Female,Non-Smoker,RR70,111,0.49723
t3211,Female,Non-Smoker,RR70,112,0.5
t3211,Female,Non-Smoker,RR70,113,0.5
t3211,Female,Non-Smoker,RR70,114,0.5
t3211,Female,Non-Smoker,RR70,115,0.5
t3211,Female,Non-Smoker,RR70,116,0.5
t3211,Female,Non-Smoker,RR70,117,0.5
t3211,Female,Non-Smoker,RR70,118,0.5
t3211,Female,Non-Smoker,RR70,119,0.5
t3211,Female,Non-Smoker,RR70,120,0.5
t3212,Female,Non-Smoker,RR80,18,2.4e-4
t3212,Female,Non-Smoker,RR80,19,2.4e-4
t3212,Female,Non-Smoker,RR80,20,2.3e-4
t3212,Female,Non-Smoker,RR80,21,2.3e-4
t3212,Female,Non-Smoker,RR80,22,2.3e-4
t3212,Female,Non-Smoker,RR80,23,2.3e-4
t3212,Female,Non-Smoker,RR80,24,2.3e-4
t3212,Female,Non-Smoker,RR80,25,2.3e-4
t3212,Female,Non-Smoker,RR80,26,2.3e-4
t3212,Female,Non-Smoker,RR80,27,2.5e-4
t3212,Female,Non-Smoker,RR80,28,2.6e-4
t3212,Female,Non-Smoker,RR80,29,2.8e-4
t3212,Female,Non-Smoker,RR80,30,2.9e-4
t3212,Female,Non-Smoker,RR80,31,3.1e-4
t3212,Female,Non-Smoker,RR80,32,3.5e-4
t3212,Female,Non-Smoker,RR80,33,4.1e-4
t3212,Female,Non-Smoker,RR80,34,4.7e-4
t3212,Female,Non-Smoker,RR80,35,5.4e-4
t3212,Female,Non-Smoker,RR80,36,6.1e-4
t3212,Female,Non-Smoker,RR80,37,6.7e-4
t3212,Female,Non-Smoker,RR80,38,7.2e-4
t3212,Female,Non-Smoker,RR80,39,7.4e-4
t3212,Female,Non-Smoker,RR80,40,7.5e-4
t3212,Female,Non-Smoker,RR80,41,7.6e-4
t3212,Female,Non-Smoker,RR80,42,7.6e-4
t3212,Female,Non-Smoker,RR80,43,7.6e-4
t3212,Female,Non-Smoker,RR80,44,7.7e-4
t3212,Female,Non-Smoker,RR80,45,7.9e-4
t3212,Female,Non-Smoker,RR80,46,8.2e-4
t3212,Female,Non-Smoker,RR80,47,8.6e-4
t3212,Female,Non-Smoker,RR80,48,9.1e-4
t3212,Female,Non-Smoker,RR80,49,9.8e-4
t3212,Female,Non-Smoker,RR80,50,0.00106
t3212,Female,Non-Smoker,RR80,51,0.00116
t3212,Female,Non-Smoker,RR80,52,0.0013
t3212,Female,Non-Smoker,RR80,53,0.00145
t3212,Female,Non-Smoker,RR80,54,0.00162
t3212,Female,Non-Smoker,RR80,55,0.00179
t3212,Female,Non-Smoker,RR80,56,0.00195
t3212,Female,Non-Smoker,RR80,57,0.00211
t3212,Female,Non-Smoker,RR80,58,0.00228
t3212,Female,Non-Smoker,RR80,59,0.00246
t3212,Female,Non-Smoker,RR80,60,0.00267
t3212,Female,Non-Smoker,RR80,61,0.00292
t3212,Female,Non-Smoker,RR80,62,0.00321
t3212,Female,Non-Smoker,RR80,63,0.00354
t3212,Female,Non-Smoker,RR80,64,0.0039
t3212,Female,Non-Smoker,RR80,65,0.0043
t3212,Female,Non-Smoker,RR80,66,0.00472
t3212,Female,Non-Smoker,RR80,67,0.00519
t3212,Female,Non-Smoker,RR80,68,0.00572
t3212,Female,Non-Smoker,RR80,69,0.00633
t3212,Female,Non-Smoker,RR80,70,0.00704
t3212,Female,Non-Smoker,RR80,71,0.0079
t3212,Female,Non-Smoker,RR80,72,0.00891
t3212,Female,Non-Smoker,RR80,73,0.0101
t3212,Female,Non-Smoker,RR80,74,0.01149
t3212,Female,Non-Smoker,RR80,75,0.01309
t3212,Female,Non-Smoker,RR80,76,0.01494
t3212,Female,Non-Smoker,RR80,77,0.01712
t3212,Female,Non-Smoker,RR80,78,0.01971
t3212,Female,Non-Smoker,RR80,79,0.02284
t3212,Female,Non-Smoker,RR80,80,0.02653
t3212,Female,Non-Smoker,RR80,81,0.03048
t3212,Female,Non-Smoker,RR80,82,0.0346
t3212,Female,Non-Smoker,RR80,83,0.03936
t3212,Female,Non-Smoker,RR80,84,0.04601
t3212,Female,Non-Smoker,RR80,85,0.05367
t3212,Female,Non-Smoker,RR80,86,0.06128
t3212,Female,Non-Smoker,RR80,87,0.07008
t3212,Female,Non-Smoker,RR80,88,0.08013
t3212,Female,Non-Smoker,RR80,89,0.09129
t3212,Female,Non-Smoker,RR80,90,0.10345
t3212,Female,Non-Smoker,RR80,91,0.11661
t3212,Female,Non-Smoker,RR80,92,0.13096
t3212,Female,Non-Smoker,RR80,93,0.14621
t3212,Female,Non-Smoker,RR80,94,0.16247
t3212,Female,Non-Smoker,RR80,95,0.18074
t3212,Female,Non-Smoker,RR80,96,0.20127
t3212,Female,Non-Smoker,RR80,97,0.22374
t3212,Female,Non-Smoker,RR80,98,0.24802
t3212,Female,Non-Smoker,RR80,99,0.27379
t3212,Female,Non-Smoker,RR80,100,0.29921
t3212,Female,Non-Smoker,RR80,101,0.32314
t3212,Female,Non-Smoker,RR80,102,0.34698
t3212,Female,Non-Smoker,RR80,103,0.37036
t3212,Female,Non-Smoker,RR80,104,0.39292
t3212,Female,Non-Smoker,RR80,105,0.4143
t3212,Female,Non-Smoker,RR80,106,0.43413
t3212,Female,Non-Smoker,RR80,107,0.45205
t3212,Female,Non-Smoker,RR80,108,0.46769
t3212,Female,Non-Smoker,RR80,109,0.48068
t3212,Female,Non-Smoker,RR80,110,0.49065
t3212,Female,Non-Smoker,RR80,111,0.49723
t3212,Female,Non-Smoker,RR80,112,0.5
t3212,Female,Non-Smoker,RR80,113,0.5
t3212,Female,Non-Smoker,RR80,114,0.5
t3212,Female,Non-Smoker,RR80,115,0.5
t3212,Female,Non-Smoker,RR80,116,0.5
t3212,Female,Non-Smoker,RR80,117,0.5
t3212,Female,Non-Smoker,RR80,118,0.5
t3212,Female,Non-Smoker,RR80,119,0.5
t3212,Female,Non-Smoker,RR80,120,0.5
t3213,Female,Non-Smoker,RR90,18,2.5e-4
t3213,Female,Non-Smoker,RR90,19,2.5e-4
t3213,Female,Non-Smoker,RR90,20,2.5e-4
t3213,Female,Non-Smoker,RR90,21,2.5e-4
t3213,Female,Non-Smoker,RR90,22,2.5e-4
t3213,Female,Non-Smoker,RR90,23,2.5e-4
t3213,Female,Non-Smoker,RR90,24,2.5e-4
t3213,Female,Non-Smoker,RR90,25,2.4e-4
t3213,Female,Non-Smoker,RR90,26,2.5e-4
t3213,Female,Non-Smoker,RR90,27,2.6e-4
t3213,Female,Non-Smoker,RR90,28,2.8e-4
t3213,Female,Non-Smoker,RR90,29,3e-4
t3213,Female,Non-Smoker,RR90,30,3.1e-4
t3213,Female,Non-Smoker,RR90,31,3.4e-4
t3213,Female,Non-Smoker,RR90,32,3.7e-4
t3213,Female,Non-Smoker,RR90,33,4.3e-4
t3213,Female,Non-Smoker,RR90,34,5e-4
t3213,Female,Non-Smoker,RR90,35,5.8e-4
t3213,Female,Non-Smoker,RR90,36,6.5e-4
t3213,Female,Non-Smoker,RR90,37,7.2e-4
t3213,Female,Non-Smoker,RR90,38,7.8e-4
t3213,Female,Non-Smoker,RR90,39,8e-4
t3213,Female,Non-Smoker,RR90,40,8.1e-4
t3213,Female,Non-Smoker,RR90,41,8.1e-4
t3213,Female,Non-Smoker,RR90,42,8.1e-4
t3213,Female,Non-Smoker,RR90,43,8.2e-4
t3213,Female,Non-Smoker,RR90,44,8.2e-4
t3213,Female,Non-Smoker,RR90,45,8.4e-4
t3213,Female,Non-Smoker,RR90,46,8.8e-4
t3213,Female,Non-Smoker,RR90,47,9.2e-4
t3213,Female,Non-Smoker,RR90,48,9.8e-4
t3213,Female,Non-Smoker,RR90,49,0.00105
t3213,Female,Non-Smoker,RR90,50,0.00114
t3213,Female,Non-Smoker,RR90,51,0.00126
t3213,Female,Non-Smoker,RR90,52,0.00141
t3213,Female,Non-Smoker,RR90,53,0.00159
t3213,Female,Non-Smoker,RR90,54,0.00177
t3213,Female,Non-Smoker,RR90,55,0.00196
t3213,Female,Non-Smoker,RR90,56,0.00214
t3213,Female,Non-Smoker,RR90,57,0.00232
t3213,Female,Non-Smoker,RR90,58,0.0025
t3213,Female,Non-Smoker,RR90,59,0.0027
t3213,Female,Non-Smoker,RR90,60,0.00293
t3213,Female,Non-Smoker,RR90,61,0.00321
t3213,Female,Non-Smoker,RR90,62,0.00352
t3213,Female,Non-Smoker,RR90,63,0.00387
t3213,Female,Non-Smoker,RR90,64,0.00426
t3213,Female,Non-Smoker,RR90,65,0.00468
t3213,Female,Non-Smoker,RR90,66,0.00514
t3213,Female,Non-Smoker,RR90,67,0.00564
t3213,Female,Non-Smoker,RR90,68,0.0062
t3213,Female,Non-Smoker,RR90,69,0.00684
t3213,Female,Non-Smoker,RR90,70,0.00759
t3213,Female,Non-Smoker,RR90,71,0.00849
t3213,Female,Non-Smoker,RR90,72,0.00955
t3213,Female,Non-Smoker,RR90,73,0.01079
t3213,Female,Non-Smoker,RR90,74,0.01223
t3213,Female,Non-Smoker,RR90,75,0.01389
t3213,Female,Non-Smoker,RR90,76,0.01581
t3213,Female,Non-Smoker,RR90,77,0.01805
t3213,Female,Non-Smoker,RR90,78,0.0207
t3213,Female,Non-Smoker,RR90,79,0.0239
t3213,Female,Non-Smoker,RR90,80,0.02766
t3213,Female,Non-Smoker,RR90,81,0.03167
t3213,Female,Non-Smoker,RR90,82,0.03585
t3213,Female,Non-Smoker,RR90,83,0.04065
t3213,Female,Non-Smoker,RR90,84,0.04733
t3213,Female,Non-Smoker,RR90,85,0.05501
t3213,Female,Non-Smoker,RR90,86,0.06264
t3213,Female,Non-Smoker,RR90,87,0.07143
t3213,Female,Non-Smoker,RR90,88,0.08146
t3213,Female,Non-Smoker,RR90,89,0.09258
t3213,Female,Non-Smoker,RR90,90,0.10465
t3213,Female,Non-Smoker,RR90,91,0.1177
t3213,Female,Non-Smoker,RR90,92,0.13187
t3213,Female,Non-Smoker,RR90,93,0.14687
t3213,Female,Non-Smoker,RR90,94,0.16274
t3213,Female,Non-Smoker,RR90,95,0.18074
t3213,Female,Non-Smoker,RR90,96,0.20127
t3213,Female,Non-Smoker,RR90,97,0.22374
t3213,Female,Non-Smoker,RR90,98,0.24802
t3213,Female,Non-Smoker,RR90,99,0.27379
t3213,Female,Non-Smoker,RR90,100,0.29921
t3213,Female,Non-Smoker,RR90,101,0.32314
t3213,Female,Non-Smoker,RR90,102,0.34698
t3213,Female,Non-Smoker,RR90,103,0.37036
t3213,Female,Non-Smoker,RR90,104,0.39292
t3213,Female,Non-Smoker,RR90,105,0.4143
t3213,Female,Non-Smoker,RR90,106,0.43413
t3213,Female,Non-Smoker,RR90,107,0.45205
t3213,Female,Non-Smoker,RR90,108,0.46769
t3213,Female,Non-Smoker,RR90,109,0.48068
t3213,Female,Non-Smoker,RR90,110,0.49065
t3213,Female,Non-Smoker,RR90,111,0.49723
t3213,Female,Non-Smoker,RR90,112,0.5
t3213,Female,Non-Smoker,RR90,113,0.5
t3213,Female,Non-Smoker,RR90,114,0.5
t3213,Female,Non-Smoker,RR90,115,0.5
t3213,Female,Non-Smoker,RR90,116,0.5
t3213,Female,Non-Smoker,RR90,117,0.5
t3213,Female,Non-Smoker,RR90,118,0.5
t3213,Female,Non-Smoker,RR90,119,0.5
t3213,Female,Non-Smoker,RR90,120,0.5
t3214,Female,Non-Smoker,RR100,18,2.7e-4
t3214,Female,Non-Smoker,RR100,19,2.7e-4
t3214,Female,Non-Smoker,RR100,20,2.6e-4
t3214,Female,Non-Smoker,RR100,21,2.7e-4
t3214,Female,Non-Smoker,RR100,22,2.7e-4
t3214,Female,Non-Smoker,RR100,23,2.7e-4
t3214,Female,Non-Smoker,RR100,24,2.6e-4
t3214,Female,Non-Smoker,RR100,25,2.6e-4
t3214,Female,Non-Smoker,RR100,26,2.7e-4
t3214,Female,Non-Smoker,RR100,27,2.8e-4
