table,gender,tobacco,relative_risk,attained_age,q_ult
t3219,Female,Non-Smoker,RR50,94,0.15317
t3219,Female,Non-Smoker,RR50,95,0.17179
t3219,Female,Non-Smoker,RR50,96,0.19155
t3219,Female,Non-Smoker,RR50,97,0.21329
t3219,Female,Non-Smoker,RR50,98,0.23702
t3219,Female,Non-Smoker,RR50,99,0.26244
t3219,Female,Non-Smoker,RR50,100,0.28919
t3219,Female,Non-Smoker,RR50,101,0.3133
t3219,Female,Non-Smoker,RR50,102,0.33747
t3219,Female,Non-Smoker,RR50,103,0.36133
t3219,Female,Non-Smoker,RR50,104,0.3845
t3219,Female,Non-Smoker,RR50,105,0.4066
t3219,Female,Non-Smoker,RR50,106,0.42726
t3219,Female,Non-Smoker,RR50,107,0.44611
t3219,Female,Non-Smoker,RR50,108,0.46277
t3219,Female,Non-Smoker,RR50,109,0.47686
t3219,Female,Non-Smoker,RR50,110,0.488
t3219,Female,Non-Smoker,RR50,111,0.49583
t3219,Female,Non-Smoker,RR50,112,0.5
t3219,Female,Non-Smoker,RR50,113,0.5
t3219,Female,Non-Smoker,RR50,114,0.5
t3219,Female,Non-Smoker,RR50,115,0.5
t3219,Female,Non-Smoker,RR50,116,0.5
t3219,Female,Non-Smoker,RR50,117,0.5
t3219,Female,Non-Smoker,RR50,118,0.5
t3219,Female,Non-Smoker,RR50,119,0.5
t3219,Female,Non-Smoker,RR50,120,0.5
t3220,Female,Non-Smoker,RR60,18,2e-4
t3220,Female,Non-Smoker,RR60,19,2e-4
t3220,Female,Non-Smoker,RR60,20,2e-4
t3220,Female,Non-Smoker,RR60,21,2e-4
t3220,Female,Non-Smoker,RR60,22,2e-4
t3220,Female,Non-Smoker,RR60,23,2e-4
t3220,Female,Non-Smoker,RR60,24,2e-4
t3220,Female,Non-Smoker,RR60,25,2e-4
t3220,Female,Non-Smoker,RR60,26,2e-4
t3220,Female,Non-Smoker,RR60,27,2.1e-4
t3220,Female,Non-Smoker,RR60,28,2.2e-4
t3220,Female,Non-Smoker,RR60,29,2.4e-4
t3220,Female,Non-Smoker,RR60,30,2.5e-4
t3220,Female,Non-Smoker,RR60,31,2.6e-4
t3220,Female,Non-Smoker,RR60,32,2.9e-4
t3220,Female,Non-Smoker,RR60,33,3.3e-4
t3220,Female,Non-Smoker,RR60,34,3.8e-4
t3220,Female,Non-Smoker,RR60,35,4.3e-4
t3220,Female,Non-Smoker,RR60,36,4.8e-4
t3220,Female,Non-Smoker,RR60,37,5.4e-4
t3220,Female,Non-Smoker,RR60,38,5.9e-4
t3220,Female,Non-Smoker,RR60,39,6.1e-4
t3220,Female,Non-Smoker,RR60,40,6.2e-4
t3220,Female,Non-Smoker,RR60,41,6.3e-4
t3220,Female,Non-Smoker,RR60,42,6.3e-4
t3220,Female,Non-Smoker,RR60,43,6.3e-4
t3220,Female,Non-Smoker,RR60,44,6.4e-4
t3220,Female,Non-Smoker,RR60,45,6.4e-4
t3220,Female,Non-Smoker,RR60,46,6.7e-4
t3220,Female,Non-Smoker,RR60,47,6.9e-4
t3220,Female,Non-Smoker,RR60,48,7.1e-4
t3220,Female,Non-Smoker,RR60,49,7.5e-4
t3220,Female,Non-Smoker,RR60,50,8e-4
t3220,Female,Non-Smoker,RR60,51,8.6e-4
t3220,Female,Non-Smoker,RR60,52,9.5e-4
t3220,Female,Non-Smoker,RR60,53,0.00105
t3220,Female,Non-Smoker,RR60,54,0.00117
t3220,Female,Non-Smoker,RR60,55,0.00129
t3220,Female,Non-Smoker,RR60,56,0.00141
t3220,Female,Non-Smoker,RR60,57,0.00152
t3220,Female,Non-Smoker,RR60,58,0.00164
t3220,Female,Non-Smoker,RR60,59,0.00178
t3220,Female,Non-Smoker,RR60,60,0.00193
t3220,Female,Non-Smoker,RR60,61,0.00212
t3220,Female,Non-Smoker,RR60,62,0.00234
t3220,Female,Non-Smoker,RR60,63,0.0026
t3220,Female,Non-Smoker,RR60,64,0.0029
t3220,Female,Non-Smoker,RR60,65,0.00323
t3220,Female,Non-Smoker,RR60,66,0.00359
t3220,Female,Non-Smoker,RR60,67,0.00399
t3220,Female,Non-Smoker,RR60,68,0.00442
t3220,Female,Non-Smoker,RR60,69,0.00493
t3220,Female,Non-Smoker,RR60,70,0.00552
t3220,Female,Non-Smoker,RR60,71,0.00623
t3220,Female,Non-Smoker,RR60,72,0.00708
t3220,Female,Non-Smoker,RR60,73,0.00808
t3220,Female,Non-Smoker,RR60,74,0.00925
t3220,Female,Non-Smoker,RR60,75,0.01064
t3220,Female,Non-Smoker,RR60,76,0.01223
t3220,Female,Non-Smoker,RR60,77,0.01411
t3220,Female,Non-Smoker,RR60,78,0.01634
t3220,Female,Non-Smoker,RR60,79,0.01904
t3220,Female,Non-Smoker,RR60,80,0.02232
t3220,Female,Non-Smoker,RR60,81,0.0261
t3220,Female,Non-Smoker,RR60,82,0.03005
t3220,Female,Non-Smoker,RR60,83,0.03427
t3220,Female,Non-Smoker,RR60,84,0.03936
t3220,Female,Non-Smoker,RR60,85,0.0474
t3220,Female,Non-Smoker,RR60,86,0.05444
t3220,Female,Non-Smoker,RR60,87,0.06254
t3220,Female,Non-Smoker,RR60,88,0.07203
t3220,Female,Non-Smoker,RR60,89,0.08272
t3220,Female,Non-Smoker,RR60,90,0.09455
t3220,Female,Non-Smoker,RR60,91,0.10751
t3220,Female,Non-Smoker,RR60,92,0.12169
t3220,Female,Non-Smoker,RR60,93,0.1373
t3220,Female,Non-Smoker,RR60,94,0.15362
t3220,Female,Non-Smoker,RR60,95,0.17179
t3220,Female,Non-Smoker,RR60,96,0.19155
t3220,Female,Non-Smoker,RR60,97,0.21329
t3220,Female,Non-Smoker,RR60,98,0.23702
t3220,Female,Non-Smoker,RR60,99,0.26244
t3220,Female,Non-Smoker,RR60,100,0.28919
t3220,Female,Non-Smoker,RR60,101,0.3133
t3220,Female,Non-Smoker,RR60,102,0.33747
t3220,Female,Non-Smoker,RR60,103,0.36133
t3220,Female,Non-Smoker,RR60,104,0.3845
t3220,Female,Non-Smoker,RR60,105,0.4066
t3220,Female,Non-Smoker,RR60,106,0.42726
t3220,Female,Non-Smoker,RR60,107,0.44611
t3220,Female,Non-Smoker,RR60,108,0.46277
t3220,Female,Non-Smoker,RR60,109,0.47686
t3220,Female,Non-Smoker,RR60,110,0.488
t3220,Female,Non-Smoker,RR60,111,0.49583
t3220,Female,Non-Smoker,RR60,112,0.5
t3220,Female,Non-Smoker,RR60,113,0.5
t3220,Female,Non-Smoker,RR60,114,0.5
t3220,Female,Non-Smoker,RR60,115,0.5
t3220,Female,Non-Smoker,RR60,116,0.5
t3220,Female,Non-Smoker,RR60,117,0.5
t3220,Female,Non-Smoker,RR60,118,0.5
t3220,Female,Non-Smoker,RR60,119,0.5
t3220,Female,Non-Smoker,RR60,120,0.5
t3221,Female,Non-Smoker,RR70,18,2.2e-4
t3221,Female,Non-Smoker,RR70,19,2.2e-4
t3221,Female,Non-Smoker,RR70,20,2.2e-4
t3221,Female,Non-Smoker,RR70,21,2.2e-4
t3221,Female,Non-Smoker,RR70,22,2.2e-4
t3221,Female,Non-Smoker,RR70,23,2.2e-4
t3221,Female,Non-Smoker,RR70,24,2.2e-4
t3221,Female,Non-Smoker,RR70,25,2.2e-4
t3221,Female,Non-Smoker,RR70,26,2.2e-4
t3221,Female,Non-Smoker,RR70,27,2.3e-4
t3221,Female,Non-Smoker,RR70,28,2.4e-4
t3221,Female,Non-Smoker,RR70,29,2.6e-4
t3221,Female,Non-Smoker,RR70,30,2.7e-4
t3221,Female,Non-Smoker,RR70,31,2.9e-4
t3221,Female,Non-Smoker,RR70,32,3.2e-4
t3221,Female,Non-Smoker,RR70,33,3.6e-4
t3221,Female,Non-Smoker,RR70,34,4.1e-4
t3221,Female,Non-Smoker,RR70,35,4.7e-4
t3221,Female,Non-Smoker,RR70,36,5.3e-4
t3221,Female,Non-Smoker,RR70,37,5.9e-4
t3221,Female,Non-Smoker,RR70,38,6.5e-4
t3221,Female,Non-Smoker,RR70,39,6.7e-4
t3221,Female,Non-Smoker,RR70,40,6.9e-4
t3221,Female,Non-Smoker,RR70,41,6.9e-4
t3221,Female,Non-Smoker,RR70,42,6.9e-4
t3221,Female,Non-Smoker,RR70,43,7e-4
t3221,Female,Non-Smoker,RR70,44,7e-4
t3221,Female,Non-Smoker,RR70,45,7e-4
t3221,Female,Non-Smoker,RR70,46,7.3e-4
t3221,Female,Non-Smoker,RR70,47,7.6e-4
t3221,Female,Non-Smoker,RR70,48,8e-4
t3221,Female,Non-Smoker,RR70,49,8.5e-4
t3221,Female,Non-Smoker,RR70,50,9.1e-4
t3221,Female,Non-Smoker,RR70,51,9.8e-4
t3221,Female,Non-Smoker,RR70,52,0.00109
t3221,Female,Non-Smoker,RR70,53,0.00122
t3221,Female,Non-Smoker,RR70,54,0.00136
t3221,Female,Non-Smoker,RR70,55,0.00151
t3221,Female,Non-Smoker,RR70,56,0.00166
t3221,Female,Non-Smoker,RR70,57,0.0018
t3221,Female,Non-Smoker,RR70,58,0.00195
t3221,Female,Non-Smoker,RR70,59,0.00211
t3221,Female,Non-Smoker,RR70,60,0.00229
t3221,Female,Non-Smoker,RR70,61,0.00251
t3221,Female,Non-Smoker,RR70,62,0.00276
t3221,Female,Non-Smoker,RR70,63,0.00306
t3221,Female,Non-Smoker,RR70,64,0.00339
t3221,Female,Non-Smoker,RR70,65,0.00375
t3221,Female,Non-Smoker,RR70,66,0.00415
t3221,Female,Non-Smoker,RR70,67,0.00458
t3221,Female,Non-Smoker,RR70,68,0.00505
t3221,Female,Non-Smoker,RR70,69,0.00559
t3221,Female,Non-Smoker,RR70,70,0.00622
t3221,Female,Non-Smoker,RR70,71,0.00698
t3221,Female,Non-Smoker,RR70,72,0.00787
t3221,Female,Non-Smoker,RR70,73,0.00893
t3221,Female,Non-Smoker,RR70,74,0.01017
t3221,Female,Non-Smoker,RR70,75,0.01161
t3221,Female,Non-Smoker,RR70,76,0.01327
t3221,Female,Non-Smoker,RR70,77,0.01522
t3221,Female,Non-Smoker,RR70,78,0.01753
t3221,Female,Non-Smoker,RR70,79,0.0203
t3221,Female,Non-Smoker,RR70,80,0.02366
t3221,Female,Non-Smoker,RR70,81,0.02754
t3221,Female,Non-Smoker,RR70,82,0.03142
t3221,Female,Non-Smoker,RR70,83,0.03569
t3221,Female,Non-Smoker,RR70,84,0.04083
t3221,Female,Non-Smoker,RR70,85,0.049
t3221,Female,Non-Smoker,RR70,86,0.05608
t3221,Female,Non-Smoker,RR70,87,0.0642
t3221,Female,Non-Smoker,RR70,88,0.07371
t3221,Female,Non-Smoker,RR70,89,0.08439
t3221,Female,Non-Smoker,RR70,90,0.09617
t3221,Female,Non-Smoker,RR70,91,0.10894
t3221,Female,Non-Smoker,RR70,92,0.12286
t3221,Female,Non-Smoker,RR70,93,0.13814
t3221,Female,Non-Smoker,RR70,94,0.15408
t3221,Female,Non-Smoker,RR70,95,0.17179
t3221,Female,Non-Smoker,RR70,96,0.19155
t3221,Female,Non-Smoker,RR70,97,0.21329
t3221,Female,Non-Smoker,RR70,98,0.23702
t3221,Female,Non-Smoker,RR70,99,0.26244
t3221,Female,Non-Smoker,RR70,100,0.28919
t3221,Female,Non-Smoker,RR70,101,0.3133
t3221,Female,Non-Smoker,RR70,102,0.33747
t3221,Female,Non-Smoker,RR70,103,0.36133
t3221,Female,Non-Smoker,RR70,104,0.3845
t3221,Female,Non-Smoker,RR70,105,0.4066
t3221,Female,Non-Smoker,RR70,106,0.42726
t3221,Female,Non-Smoker,RR70,107,0.44611
t3221,Female,Non-Smoker,RR70,108,0.46277
t3221,Female,Non-Smoker,RR70,109,0.47686
t3221,Female,Non-Smoker,RR70,110,0.488
t3221,Female,Non-Smoker,RR70,111,0.49583
t3221,Female,Non-Smoker,RR70,112,0.5
t3221,Female,Non-Smoker,RR70,113,0.5
t3221,Female,Non-Smoker,RR70,114,0.5
t3221,Female,Non-Smoker,RR70,115,0.5
t3221,Female,Non-Smoker,RR70,116,0.5
t3221,Female,Non-Smoker,RR70,117,0.5
t3221,Female,Non-Smoker,RR70,118,0.5
t3221,Female,Non-Smoker,RR70,119,0.5
t3221,Female,Non-Smoker,RR70,120,0.5
t3222,Female,Non-Smoker,RR80,18,2.4e-4
t3222,Female,Non-Smoker,RR80,19,2.4e-4
t3222,Female,Non-Smoker,RR80,20,2.4e-4
t3222,Female,Non-Smoker,RR80,21,2.4e-4
t3222,Female,Non-Smoker,RR80,22,2.4e-4
t3222,Female,Non-Smoker,RR80,23,2.4e-4
t3222,Female,Non-Smoker,RR80,24,2.4e-4
t3222,Female,Non-Smoker,RR80,25,2.4e-4
t3222,Female,Non-Smoker,RR80,26,2.4e-4
t3222,Female,Non-Smoker,RR80,27,2.5e-4
t3222,Female,Non-Smoker,RR80,28,2.7e-4
t3222,Female,Non-Smoker,RR80,29,2.8e-4
t3222,Female,Non-Smoker,RR80,30,3e-4
t3222,Female,Non-Smoker,RR80,31,3.2e-4
t3222,Female,Non-Smoker,RR80,32,3.5e-4
t3222,Female,Non-Smoker,RR80,33,4e-4
t3222,Female,Non-Smoker,RR80,34,4.5e-4
t3222,Female,Non-Smoker,RR80,35,5.1e-4
t3222,Female,Non-Smoker,RR80,36,5.8e-4
t3222,Female,Non-Smoker,RR80,37,6.5e-4
t3222,Female,Non-Smoker,RR80,38,7.1e-4
t3222,Female,Non-Smoker,RR80,39,7.4e-4
t3222,Female,Non-Smoker,RR80,40,7.5e-4
t3222,Female,Non-Smoker,RR80,41,7.6e-4
t3222,Female,Non-Smoker,RR80,42,7.6e-4
t3222,Female,Non-Smoker,RR80,43,7.6e-4
t3222,Female,Non-Smoker,RR80,44,7.7e-4
t3222,Female,Non-Smoker,RR80,45,7.7e-4
t3222,Female,Non-Smoker,RR80,46,8e-4
t3222,Female,Non-Smoker,RR80,47,8.3e-4
t3222,Female,Non-Smoker,RR80,48,8.8e-4
t3222,Female,Non-Smoker,RR80,49,9.4e-4
t3222,Female,Non-Smoker,RR80,50,0.00101
t3222,Female,Non-Smoker,RR80,51,0.0011
t3222,Female,Non-Smoker,RR80,52,0.00122
t3222,Female,Non-Smoker,RR80,53,0.00137
t3222,Female,Non-Smoker,RR80,54,0.00154
t3222,Female,Non-Smoker,RR80,55,0.00171
t3222,Female,Non-Smoker,RR80,56,0.00187
t3222,Female,Non-Smoker,RR80,57,0.00203
t3222,Female,Non-Smoker,RR80,58,0.00219
t3222,Female,Non-Smoker,RR80,59,0.00236
t3222,Female,Non-Smoker,RR80,60,0.00256
t3222,Female,Non-Smoker,RR80,61,0.00279
t3222,Female,Non-Smoker,RR80,62,0.00306
t3222,Female,Non-Smoker,RR80,63,0.00336
t3222,Female,Non-Smoker,RR80,64,0.00371
t3222,Female,Non-Smoker,RR80,65,0.00409
t3222,Female,Non-Smoker,RR80,66,0.0045
t3222,Female,Non-Smoker,RR80,67,0.00495
t3222,Female,Non-Smoker,RR80,68,0.00544
t3222,Female,Non-Smoker,RR80,69,0.006
t3222,Female,Non-Smoker,RR80,70,0.00665
t3222,Female,Non-Smoker,RR80,71,0.0074400000000000004
t3222,Female,Non-Smoker,RR80,72,0.00837
t3222,Female,Non-Smoker,RR80,73,0.00946
t3222,Female,Non-Smoker,RR80,74,0.01074
t3222,Female,Non-Smoker,RR80,75,0.01224
t3222,Female,Non-Smoker,RR80,76,0.01395
t3222,Female,Non-Smoker,RR80,77,0.01595
t3222,Female,Non-Smoker,RR80,78,0.01831
t3222,Female,Non-Smoker,RR80,79,0.02114
t3222,Female,Non-Smoker,RR80,80,0.02458
t3222,Female,Non-Smoker,RR80,81,0.02853
t3222,Female,Non-Smoker,RR80,82,0.03248
t3222,Female,Non-Smoker,RR80,83,0.0368
t3222,Female,Non-Smoker,RR80,84,0.04201
t3222,Female,Non-Smoker,RR80,85,0.05019
t3222,Female,Non-Smoker,RR80,86,0.05733
t3222,Female,Non-Smoker,RR80,87,0.06547
t3222,Female,Non-Smoker,RR80,88,0.075
t3222,Female,Non-Smoker,RR80,89,0.08568
t3222,Female,Non-Smoker,RR80,90,0.09743
t3222,Female,Non-Smoker,RR80,91,0.11011
t3222,Female,Non-Smoker,RR80,92,0.12392
t3222,Female,Non-Smoker,RR80,93,0.13899
t3222,Female,Non-Smoker,RR80,94,0.1546
t3222,Female,Non-Smoker,RR80,95,0.17179
t3222,Female,Non-Smoker,RR80,96,0.19155
t3222,Female,Non-Smoker,RR80,97,0.21329
t3222,Female,Non-Smoker,RR80,98,0.23702
t3222,Female,Non-Smoker,RR80,99,0.26244
t3222,Female,Non-Smoker,RR80,100,0.28919
t3222,Female,Non-Smoker,RR80,101,0.3133
t3222,Female,Non-Smoker,RR80,102,0.33747
t3222,Female,Non-Smoker,RR80,103,0.36133
t3222,Female,Non-Smoker,RR80,104,0.3845
t3222,Female,Non-Smoker,RR80,105,0.4066
t3222,Female,Non-Smoker,RR80,106,0.42726
t3222,Female,Non-Smoker,RR80,107,0.44611
t3222,Female,Non-Smoker,RR80,108,0.46277
t3222,Female,Non-Smoker,RR80,109,0.47686
t3222,Female,Non-Smoker,RR80,110,0.488
t3222,Female,Non-Smoker,RR80,111,0.49583
t3222,Female,Non-Smoker,RR80,112,0.5
t3222,Female,Non-Smoker,RR80,113,0.5
t3222,Female,Non-Smoker,RR80,114,0.5
t3222,Female,Non-Smoker,RR80,115,0.5
t3222,Female,Non-Smoker,RR80,116,0.5
t3222,Female,Non-Smoker,RR80,117,0.5
t3222,Female,Non-Smoker,RR80,118,0.5
t3222,Female,Non-Smoker,RR80,119,0.5
t3222,Female,Non-Smoker,RR80,120,0.5
t3223,Female,Non-Smoker,RR90,18,2.5e-4
t3223,Female,Non-Smoker,RR90,19,2.5e-4
t3223,Female,Non-Smoker,RR90,20,2.5e-4
t3223,Female,Non-Smoker,RR90,21,2.5e-4
t3223,Female,Non-Smoker,RR90,22,2.5e-4
t3223,Female,Non-Smoker,RR90,23,2.6e-4
t3223,Female,Non-Smoker,RR90,24,2.6e-4
t3223,Female,Non-Smoker,RR90,25,2.6e-4
t3223,Female,Non-Smoker,RR90,26,2.6e-4
t3223,Female,Non-Smoker,RR90,27,2.7e-4
t3223,Female,Non-Smoker,RR90,28,2.9e-4
t3223,Female,Non-Smoker,RR90,29,3e-4
t3223,Female,Non-Smoker,RR90,30,3.2e-4
t3223,Female,Non-Smoker,RR90,31,3.4e-4
t3223,Female,Non-Smoker,RR90,32,3.7e-4
t3223,Female,Non-Smoker,RR90,33,4.3e-4
t3223,Female,Non-Smoker,RR90,34,4.8e-4
t3223,Female,Non-Smoker,RR90,35,5.5e-4
t3223,Female,Non-Smoker,RR90,36,6.2e-4
t3223,Female,Non-Smoker,RR90,37,6.9e-4
t3223,Female,Non-Smoker,RR90,38,7.6e-4
t3223,Female,Non-Smoker,RR90,39,7.9e-4
t3223,Female,Non-Smoker,RR90,40,8e-4
t3223,Female,Non-Smoker,RR90,41,8.1e-4
t3223,Female,Non-Smoker,RR90,42,8.1e-4
t3223,Female,Non-Smoker,RR90,43,8.2e-4
t3223,Female,Non-Smoker,RR90,44,8.2e-4
t3223,Female,Non-Smoker,RR90,45,8.2e-4
t3223,Female,Non-Smoker,RR90,46,8.6e-4
t3223,Female,Non-Smoker,RR90,47,8.9e-4
t3223,Female,Non-Smoker,RR90,48,9.5e-4
t3223,Female,Non-Smoker,RR90,49,0.00101
t3223,Female,Non-Smoker,RR90,50,0.00109
t3223,Female,Non-Smoker,RR90,51,0.00119
t3223,Female,Non-Smoker,RR90,52,0.00133
t3223,Female,Non-Smoker,RR90,53,0.0015
t3223,Female,Non-Smoker,RR90,54,0.00168
t3223,Female,Non-Smoker,RR90,55,0.00187
t3223,Female,Non-Smoker,RR90,56,0.00205
t3223,Female,Non-Smoker,RR90,57,0.00223
t3223,Female,Non-Smoker,RR90,58,0.0024
t3223,Female,Non-Smoker,RR90,59,0.00259
t3223,Female,Non-Smoker,RR90,60,0.00281
t3223,Female,Non-Smoker,RR90,61,0.00306
t3223,Female,Non-Smoker,RR90,62,0.00335
t3223,Female,Non-Smoker,RR90,63,0.00369
t3223,Female,Non-Smoker,RR90,64,0.00406
t3223,Female,Non-Smoker,RR90,65,0.00447
t3223,Female,Non-Smoker,RR90,66,0.0049
t3223,Female,Non-Smoker,RR90,67,0.00538
t3223,Female,Non-Smoker,RR90,68,0.0059
t3223,Female,Non-Smoker,RR90,69,0.00649
t3223,Female,Non-Smoker,RR90,70,0.00718
t3223,Female,Non-Smoker,RR90,71,0.00801
t3223,Female,Non-Smoker,RR90,72,0.00898
t3223,Female,Non-Smoker,RR90,73,0.01013
t3223,Female,Non-Smoker,RR90,74,0.01146
t3223,Female,Non-Smoker,RR90,75,0.01301
t3223,Female,Non-Smoker,RR90,76,0.01478
t3223,Female,Non-Smoker,RR90,77,0.01685
t3223,Female,Non-Smoker,RR90,78,0.01927
t3223,Female,Non-Smoker,RR90,79,0.02216
t3223,Female,Non-Smoker,RR90,80,0.02568
t3223,Female,Non-Smoker,RR90,81,0.02971
t3223,Female,Non-Smoker,RR90,82,0.0337
t3223,Female,Non-Smoker,RR90,83,0.03808
t3223,Female,Non-Smoker,RR90,84,0.04333
t3223,Female,Non-Smoker,RR90,85,0.05151
t3223,Female,Non-Smoker,RR90,86,0.05869
t3223,Female,Non-Smoker,RR90,87,0.06683
t3223,Female,Non-Smoker,RR90,88,0.07635
t3223,Female,Non-Smoker,RR90,89,0.08699
t3223,Female,Non-Smoker,RR90,90,0.09869
t3223,Female,Non-Smoker,RR90,91,0.11126
t3223,Female,Non-Smoker,RR90,92,0.12493
t3223,Female,Non-Smoker,RR90,93,0.13979
t3223,Female,Non-Smoker,RR90,94,0.15509
t3223,Female,Non-Smoker,RR90,95,0.17179
t3223,Female,Non-Smoker,RR90,96,0.19155
t3223,Female,Non-Smoker,RR90,97,0.21329
t3223,Female,Non-Smoker,RR90,98,0.23702
t3223,Female,Non-Smoker,RR90,99,0.26244
t3223,Female,Non-Smoker,RR90,100,0.28919
t3223,Female,Non-Smoker,RR90,101,0.3133
t3223,Female,Non-Smoker,RR90,102,0.33747
t3223,Female,Non-Smoker,RR90,103,0.36133
t3223,Female,Non-Smoker,RR90,104,0.3845
t3223,Female,Non-Smoker,RR90,105,0.4066
t3223,Female,Non-Smoker,RR90,106,0.42726
t3223,Female,Non-Smoker,RR90,107,0.44611
t3223,Female,Non-Smoker,RR90,108,0.46277
t3223,Female,Non-Smoker,RR90,109,0.47686
t3223,Female,Non-Smoker,RR90,110,0.488
t3223,Female,Non-Smoker,RR90,111,0.49583
t3223,Female,Non-Smoker,RR90,112,0.5
t3223,Female,Non-Smoker,RR90,113,0.5
t3223,Female,Non-Smoker,RR90,114,0.5
t3223,Female,Non-Smoker,RR90,115,0.5
t3223,Female,Non-Smoker,RR90,116,0.5
t3223,Female,Non-Smoker,RR90,117,0.5
t3223,Female,Non-Smoker,RR90,118,0.5
t3223,Female,Non-Smoker,RR90,119,0.5
t3223,Female,Non-Smoker,RR90,120,0.5
t3224,Female,Non-Smoker,RR100,18,2.7e-4
t3224,Female,Non-Smoker,RR100,19,2.7e-4
t3224,Female,Non-Smoker,RR100,20,2.7e-4
t3224,Female,Non-Smoker,RR100,21,2.7e-4
t3224,Female,Non-Smoker,RR100,22,2.7e-4
t3224,Female,Non-Smoker,RR100,23,2.7e-4
t3224,Female,Non-Smoker,RR100,24,2.8e-4
t3224,Female,Non-Smoker,RR100,25,2.8e-4
t3224,Female,Non-Smoker,RR100,26,2.8e-4
t3224,Female,Non-Smoker,RR100,27,2.9e-4
t3224,Female,Non-Smoker,RR100,28,3.1e-4
