table,gender_blend,tobacco,attained_age,q_ult
t3319,20% Male,Nonsmoker,102,0.38542
t3319,20% Male,Nonsmoker,103,0.40936
t3319,20% Male,Nonsmoker,104,0.43223
t3319,20% Male,Nonsmoker,105,0.45362
t3319,20% Male,Nonsmoker,106,0.47317
t3319,20% Male,Nonsmoker,107,0.49915
t3319,20% Male,Nonsmoker,108,0.52655
t3319,20% Male,Nonsmoker,109,0.55546
t3319,20% Male,Nonsmoker,110,0.58596
t3319,20% Male,Nonsmoker,111,0.61813
t3319,20% Male,Nonsmoker,112,0.65207
t3319,20% Male,Nonsmoker,113,0.68787
t3319,20% Male,Nonsmoker,114,0.72564
t3319,20% Male,Nonsmoker,115,0.76548
t3319,20% Male,Nonsmoker,116,0.80751
t3319,20% Male,Nonsmoker,117,0.85184
t3319,20% Male,Nonsmoker,118,0.89862
t3319,20% Male,Nonsmoker,119,0.94795
t3319,20% Male,Nonsmoker,120,1
t3320,40% Male,Nonsmoker,18,5.3e-4
t3320,40% Male,Nonsmoker,19,5.4e-4
t3320,40% Male,Nonsmoker,20,5.5e-4
t3320,40% Male,Nonsmoker,21,5.7e-4
t3320,40% Male,Nonsmoker,22,5.5e-4
t3320,40% Male,Nonsmoker,23,5.4e-4
t3320,40% Male,Nonsmoker,24,5.4e-4
t3320,40% Male,Nonsmoker,25,5.4e-4
t3320,40% Male,Nonsmoker,26,4.9e-4
t3320,40% Male,Nonsmoker,27,4.9e-4
t3320,40% Male,Nonsmoker,28,4.7e-4
t3320,40% Male,Nonsmoker,29,4.7e-4
t3320,40% Male,Nonsmoker,30,4.7e-4
t3320,40% Male,Nonsmoker,31,4.9e-4
t3320,40% Male,Nonsmoker,32,5.2e-4
t3320,40% Male,Nonsmoker,33,6e-4
t3320,40% Male,Nonsmoker,34,6.8e-4
t3320,40% Male,Nonsmoker,35,7.9e-4
t3320,40% Male,Nonsmoker,36,9e-4
t3320,40% Male,Nonsmoker,37,0.00101
t3320,40% Male,Nonsmoker,38,0.00111
t3320,40% Male,Nonsmoker,39,0.00115
t3320,40% Male,Nonsmoker,40,0.00119
t3320,40% Male,Nonsmoker,41,0.00123
t3320,40% Male,Nonsmoker,42,0.00127
t3320,40% Male,Nonsmoker,43,0.0013
t3320,40% Male,Nonsmoker,44,0.00135
t3320,40% Male,Nonsmoker,45,0.00136
t3320,40% Male,Nonsmoker,46,0.00142
t3320,40% Male,Nonsmoker,47,0.00147
t3320,40% Male,Nonsmoker,48,0.00154
t3320,40% Male,Nonsmoker,49,0.00162
t3320,40% Male,Nonsmoker,50,0.00173
t3320,40% Male,Nonsmoker,51,0.00187
t3320,40% Male,Nonsmoker,52,0.00206
t3320,40% Male,Nonsmoker,53,0.00229
t3320,40% Male,Nonsmoker,54,0.00253
t3320,40% Male,Nonsmoker,55,0.00278
t3320,40% Male,Nonsmoker,56,0.00301
t3320,40% Male,Nonsmoker,57,0.00323
t3320,40% Male,Nonsmoker,58,0.00347
t3320,40% Male,Nonsmoker,59,0.0037200000000000002
t3320,40% Male,Nonsmoker,60,0.00403
t3320,40% Male,Nonsmoker,61,0.0044
t3320,40% Male,Nonsmoker,62,0.00485
t3320,40% Male,Nonsmoker,63,0.00537
t3320,40% Male,Nonsmoker,64,0.00594
t3320,40% Male,Nonsmoker,65,0.00656
t3320,40% Male,Nonsmoker,66,0.00723
t3320,40% Male,Nonsmoker,67,0.00794
t3320,40% Male,Nonsmoker,68,0.00873
t3320,40% Male,Nonsmoker,69,0.00963
t3320,40% Male,Nonsmoker,70,0.01067
t3320,40% Male,Nonsmoker,71,0.0119
t3320,40% Male,Nonsmoker,72,0.01338
t3320,40% Male,Nonsmoker,73,0.01509
t3320,40% Male,Nonsmoker,74,0.01706
t3320,40% Male,Nonsmoker,75,0.0193
t3320,40% Male,Nonsmoker,76,0.02179
t3320,40% Male,Nonsmoker,77,0.02463
t3320,40% Male,Nonsmoker,78,0.02784
t3320,40% Male,Nonsmoker,79,0.0316
t3320,40% Male,Nonsmoker,80,0.03606
t3320,40% Male,Nonsmoker,81,0.04124
t3320,40% Male,Nonsmoker,82,0.04666
t3320,40% Male,Nonsmoker,83,0.05276
t3320,40% Male,Nonsmoker,84,0.05997
t3320,40% Male,Nonsmoker,85,0.06972
t3320,40% Male,Nonsmoker,86,0.07947
t3320,40% Male,Nonsmoker,87,0.09054
t3320,40% Male,Nonsmoker,88,0.10329
t3320,40% Male,Nonsmoker,89,0.1173
t3320,40% Male,Nonsmoker,90,0.13247
t3320,40% Male,Nonsmoker,91,0.14836
t3320,40% Male,Nonsmoker,92,0.165
t3320,40% Male,Nonsmoker,93,0.18229
t3320,40% Male,Nonsmoker,94,0.19923
t3320,40% Male,Nonsmoker,95,0.21621
t3320,40% Male,Nonsmoker,96,0.23738
t3320,40% Male,Nonsmoker,97,0.26038
t3320,40% Male,Nonsmoker,98,0.28544
t3320,40% Male,Nonsmoker,99,0.31213
t3320,40% Male,Nonsmoker,100,0.34003
t3320,40% Male,Nonsmoker,101,0.36424
t3320,40% Male,Nonsmoker,102,0.38827
t3320,40% Male,Nonsmoker,103,0.41168
t3320,40% Male,Nonsmoker,104,0.43408
t3320,40% Male,Nonsmoker,105,0.45506
t3320,40% Male,Nonsmoker,106,0.47423
t3320,40% Male,Nonsmoker,107,0.50019
t3320,40% Male,Nonsmoker,108,0.52757
t3320,40% Male,Nonsmoker,109,0.55644
t3320,40% Male,Nonsmoker,110,0.5869
t3320,40% Male,Nonsmoker,111,0.61902
t3320,40% Male,Nonsmoker,112,0.65291
t3320,40% Male,Nonsmoker,113,0.68864
t3320,40% Male,Nonsmoker,114,0.72634
t3320,40% Male,Nonsmoker,115,0.7661
t3320,40% Male,Nonsmoker,116,0.80803
t3320,40% Male,Nonsmoker,117,0.85225
t3320,40% Male,Nonsmoker,118,0.89891
t3320,40% Male,Nonsmoker,119,0.9481
t3320,40% Male,Nonsmoker,120,1
t3321,50% Male,Nonsmoker,18,5.8e-4
t3321,50% Male,Nonsmoker,19,6e-4
t3321,50% Male,Nonsmoker,20,6.1e-4
t3321,50% Male,Nonsmoker,21,6.3e-4
t3321,50% Male,Nonsmoker,22,6.1e-4
t3321,50% Male,Nonsmoker,23,6e-4
t3321,50% Male,Nonsmoker,24,5.9e-4
t3321,50% Male,Nonsmoker,25,5.9e-4
t3321,50% Male,Nonsmoker,26,5.3e-4
t3321,50% Male,Nonsmoker,27,5.2e-4
t3321,50% Male,Nonsmoker,28,5e-4
t3321,50% Male,Nonsmoker,29,4.9e-4
t3321,50% Male,Nonsmoker,30,4.8e-4
t3321,50% Male,Nonsmoker,31,5.1e-4
t3321,50% Male,Nonsmoker,32,5.4e-4
t3321,50% Male,Nonsmoker,33,6.1e-4
t3321,50% Male,Nonsmoker,34,7e-4
t3321,50% Male,Nonsmoker,35,8.1e-4
t3321,50% Male,Nonsmoker,36,0.00093000000000000005
t3321,50% Male,Nonsmoker,37,0.00104
t3321,50% Male,Nonsmoker,38,0.00114
t3321,50% Male,Nonsmoker,39,0.00119
t3321,50% Male,Nonsmoker,40,0.00123
t3321,50% Male,Nonsmoker,41,0.00128
t3321,50% Male,Nonsmoker,42,0.00133
t3321,50% Male,Nonsmoker,43,0.00137
t3321,50% Male,Nonsmoker,44,0.00142
t3321,50% Male,Nonsmoker,45,0.00144
t3321,50% Male,Nonsmoker,46,0.0015
t3321,50% Male,Nonsmoker,47,0.00156
t3321,50% Male,Nonsmoker,48,0.00163
t3321,50% Male,Nonsmoker,49,0.00171
t3321,50% Male,Nonsmoker,50,0.00182
t3321,50% Male,Nonsmoker,51,0.00197
t3321,50% Male,Nonsmoker,52,0.00216
t3321,50% Male,Nonsmoker,53,0.00239
t3321,50% Male,Nonsmoker,54,0.00263
t3321,50% Male,Nonsmoker,55,0.00288
t3321,50% Male,Nonsmoker,56,0.00312
t3321,50% Male,Nonsmoker,57,0.00334
t3321,50% Male,Nonsmoker,58,0.00358
t3321,50% Male,Nonsmoker,59,0.00384
t3321,50% Male,Nonsmoker,60,0.00415
t3321,50% Male,Nonsmoker,61,0.00454
t3321,50% Male,Nonsmoker,62,0.00501
t3321,50% Male,Nonsmoker,63,0.00555
t3321,50% Male,Nonsmoker,64,0.00615
t3321,50% Male,Nonsmoker,65,0.0068
t3321,50% Male,Nonsmoker,66,0.00749
t3321,50% Male,Nonsmoker,67,0.00824
t3321,50% Male,Nonsmoker,68,0.00907
t3321,50% Male,Nonsmoker,69,0.01
t3321,50% Male,Nonsmoker,70,0.01109
t3321,50% Male,Nonsmoker,71,0.01239
t3321,50% Male,Nonsmoker,72,0.01393
t3321,50% Male,Nonsmoker,73,0.01573
t3321,50% Male,Nonsmoker,74,0.01779
t3321,50% Male,Nonsmoker,75,0.02012
t3321,50% Male,Nonsmoker,76,0.02272
t3321,50% Male,Nonsmoker,77,0.02564
t3321,50% Male,Nonsmoker,78,0.02895
t3321,50% Male,Nonsmoker,79,0.03279
t3321,50% Male,Nonsmoker,80,0.03733
t3321,50% Male,Nonsmoker,81,0.04261
t3321,50% Male,Nonsmoker,82,0.04821
t3321,50% Male,Nonsmoker,83,0.05455
t3321,50% Male,Nonsmoker,84,0.06201
t3321,50% Male,Nonsmoker,85,0.07183
t3321,50% Male,Nonsmoker,86,0.08191
t3321,50% Male,Nonsmoker,87,0.09339
t3321,50% Male,Nonsmoker,88,0.10656
t3321,50% Male,Nonsmoker,89,0.121
t3321,50% Male,Nonsmoker,90,0.13659
t3321,50% Male,Nonsmoker,91,0.15286
t3321,50% Male,Nonsmoker,92,0.16975
t3321,50% Male,Nonsmoker,93,0.18716
t3321,50% Male,Nonsmoker,94,0.20409
t3321,50% Male,Nonsmoker,95,0.22075
t3321,50% Male,Nonsmoker,96,0.24156
t3321,50% Male,Nonsmoker,97,0.2641
t3321,50% Male,Nonsmoker,98,0.28865
t3321,50% Male,Nonsmoker,99,0.31478
t3321,50% Male,Nonsmoker,100,0.34204
t3321,50% Male,Nonsmoker,101,0.36595
t3321,50% Male,Nonsmoker,102,0.38969
t3321,50% Male,Nonsmoker,103,0.41285
t3321,50% Male,Nonsmoker,104,0.43501
t3321,50% Male,Nonsmoker,105,0.45578
t3321,50% Male,Nonsmoker,106,0.47477
t3321,50% Male,Nonsmoker,107,0.50072
t3321,50% Male,Nonsmoker,108,0.52808
t3321,50% Male,Nonsmoker,109,0.55694
t3321,50% Male,Nonsmoker,110,0.58737
t3321,50% Male,Nonsmoker,111,0.61947
t3321,50% Male,Nonsmoker,112,0.65333
t3321,50% Male,Nonsmoker,113,0.68903
t3321,50% Male,Nonsmoker,114,0.72669
t3321,50% Male,Nonsmoker,115,0.76641
t3321,50% Male,Nonsmoker,116,0.80829
t3321,50% Male,Nonsmoker,117,0.85246
t3321,50% Male,Nonsmoker,118,0.89905
t3321,50% Male,Nonsmoker,119,0.94818
t3321,50% Male,Nonsmoker,120,1
t3322,60% Male,Nonsmoker,18,6.3e-4
t3322,60% Male,Nonsmoker,19,6.5e-4
t3322,60% Male,Nonsmoker,20,6.7e-4
t3322,60% Male,Nonsmoker,21,6.9e-4
t3322,60% Male,Nonsmoker,22,6.7e-4
t3322,60% Male,Nonsmoker,23,6.5e-4
t3322,60% Male,Nonsmoker,24,6.4e-4
t3322,60% Male,Nonsmoker,25,6.4e-4
t3322,60% Male,Nonsmoker,26,5.6e-4
t3322,60% Male,Nonsmoker,27,5.5e-4
t3322,60% Male,Nonsmoker,28,5.3e-4
t3322,60% Male,Nonsmoker,29,5e-4
t3322,60% Male,Nonsmoker,30,4.9e-4
t3322,60% Male,Nonsmoker,31,5.2e-4
t3322,60% Male,Nonsmoker,32,5.5e-4
t3322,60% Male,Nonsmoker,33,6.2e-4
t3322,60% Male,Nonsmoker,34,7.2e-4
t3322,60% Male,Nonsmoker,35,8.2e-4
t3322,60% Male,Nonsmoker,36,9.5e-4
t3322,60% Male,Nonsmoker,37,0.00106
t3322,60% Male,Nonsmoker,38,0.00117
t3322,60% Male,Nonsmoker,39,0.00123
t3322,60% Male,Nonsmoker,40,0.00127
t3322,60% Male,Nonsmoker,41,0.00132
t3322,60% Male,Nonsmoker,42,0.00138
t3322,60% Male,Nonsmoker,43,0.00144
t3322,60% Male,Nonsmoker,44,0.00149
t3322,60% Male,Nonsmoker,45,0.00152
t3322,60% Male,Nonsmoker,46,0.00158
t3322,60% Male,Nonsmoker,47,0.00164
t3322,60% Male,Nonsmoker,48,0.00171
t3322,60% Male,Nonsmoker,49,0.0018
t3322,60% Male,Nonsmoker,50,0.0019
t3322,60% Male,Nonsmoker,51,0.00206
t3322,60% Male,Nonsmoker,52,0.00225
t3322,60% Male,Nonsmoker,53,0.00248
t3322,60% Male,Nonsmoker,54,0.00273
t3322,60% Male,Nonsmoker,55,0.00298
t3322,60% Male,Nonsmoker,56,0.00322
t3322,60% Male,Nonsmoker,57,0.00345
t3322,60% Male,Nonsmoker,58,0.00368
t3322,60% Male,Nonsmoker,59,0.00395
t3322,60% Male,Nonsmoker,60,0.00426
t3322,60% Male,Nonsmoker,61,0.00467
t3322,60% Male,Nonsmoker,62,0.00517
t3322,60% Male,Nonsmoker,63,0.00572
t3322,60% Male,Nonsmoker,64,0.00635
t3322,60% Male,Nonsmoker,65,0.00703
t3322,60% Male,Nonsmoker,66,0.00775
t3322,60% Male,Nonsmoker,67,0.00854
t3322,60% Male,Nonsmoker,68,0.0094
t3322,60% Male,Nonsmoker,69,0.01037
t3322,60% Male,Nonsmoker,70,0.01151
t3322,60% Male,Nonsmoker,71,0.01287
t3322,60% Male,Nonsmoker,72,0.01448
t3322,60% Male,Nonsmoker,73,0.01636
t3322,60% Male,Nonsmoker,74,0.01851
t3322,60% Male,Nonsmoker,75,0.02094
t3322,60% Male,Nonsmoker,76,0.02364
t3322,60% Male,Nonsmoker,77,0.02665
t3322,60% Male,Nonsmoker,78,0.03005
t3322,60% Male,Nonsmoker,79,0.03398
t3322,60% Male,Nonsmoker,80,0.0386
t3322,60% Male,Nonsmoker,81,0.04398
t3322,60% Male,Nonsmoker,82,0.04975
t3322,60% Male,Nonsmoker,83,0.05633
t3322,60% Male,Nonsmoker,84,0.06404
t3322,60% Male,Nonsmoker,85,0.07393
t3322,60% Male,Nonsmoker,86,0.08435
t3322,60% Male,Nonsmoker,87,0.09623
t3322,60% Male,Nonsmoker,88,0.10983
t3322,60% Male,Nonsmoker,89,0.1247
t3322,60% Male,Nonsmoker,90,0.14071
t3322,60% Male,Nonsmoker,91,0.15736
t3322,60% Male,Nonsmoker,92,0.1745
t3322,60% Male,Nonsmoker,93,0.19203
t3322,60% Male,Nonsmoker,94,0.20894
t3322,60% Male,Nonsmoker,95,0.22528
t3322,60% Male,Nonsmoker,96,0.24573
t3322,60% Male,Nonsmoker,97,0.26782
t3322,60% Male,Nonsmoker,98,0.29186
t3322,60% Male,Nonsmoker,99,0.31742
t3322,60% Male,Nonsmoker,100,0.34405
t3322,60% Male,Nonsmoker,101,0.36765
t3322,60% Male,Nonsmoker,102,0.39111
t3322,60% Male,Nonsmoker,103,0.41401
t3322,60% Male,Nonsmoker,104,0.43594
t3322,60% Male,Nonsmoker,105,0.45649
t3322,60% Male,Nonsmoker,106,0.4753
t3322,60% Male,Nonsmoker,107,0.50124
t3322,60% Male,Nonsmoker,108,0.52858
t3322,60% Male,Nonsmoker,109,0.55743
t3322,60% Male,Nonsmoker,110,0.58784
t3322,60% Male,Nonsmoker,111,0.61992
t3322,60% Male,Nonsmoker,112,0.65374
t3322,60% Male,Nonsmoker,113,0.68942
t3322,60% Male,Nonsmoker,114,0.72703
t3322,60% Male,Nonsmoker,115,0.76671
t3322,60% Male,Nonsmoker,116,0.80854
t3322,60% Male,Nonsmoker,117,0.85266
t3322,60% Male,Nonsmoker,118,0.89919
t3322,60% Male,Nonsmoker,119,0.94826
t3322,60% Male,Nonsmoker,120,1
t3323,80% Male,Nonsmoker,18,7.3e-4
t3323,80% Male,Nonsmoker,19,7.5e-4
t3323,80% Male,Nonsmoker,20,7.8e-4
t3323,80% Male,Nonsmoker,21,8.1e-4
t3323,80% Male,Nonsmoker,22,7.8e-4
t3323,80% Male,Nonsmoker,23,7.5e-4
t3323,80% Male,Nonsmoker,24,7.5e-4
t3323,80% Male,Nonsmoker,25,7.5e-4
t3323,80% Male,Nonsmoker,26,6.4e-4
t3323,80% Male,Nonsmoker,27,6.2e-4
t3323,80% Male,Nonsmoker,28,5.8e-4
t3323,80% Male,Nonsmoker,29,5.4e-4
t3323,80% Male,Nonsmoker,30,5.2e-4
t3323,80% Male,Nonsmoker,31,5.4e-4
t3323,80% Male,Nonsmoker,32,5.7e-4
t3323,80% Male,Nonsmoker,33,6.5e-4
t3323,80% Male,Nonsmoker,34,7.5e-4
t3323,80% Male,Nonsmoker,35,8.6e-4
t3323,80% Male,Nonsmoker,36,0.001
t3323,80% Male,Nonsmoker,37,0.00112
t3323,80% Male,Nonsmoker,38,0.00124
t3323,80% Male,Nonsmoker,39,0.0013
t3323,80% Male,Nonsmoker,40,0.00135
t3323,80% Male,Nonsmoker,41,0.00142
t3323,80% Male,Nonsmoker,42,0.0015
t3323,80% Male,Nonsmoker,43,0.00157
t3323,80% Male,Nonsmoker,44,0.00164
t3323,80% Male,Nonsmoker,45,0.00167
t3323,80% Male,Nonsmoker,46,0.00175
t3323,80% Male,Nonsmoker,47,0.0018
t3323,80% Male,Nonsmoker,48,0.00188
t3323,80% Male,Nonsmoker,49,0.00197
t3323,80% Male,Nonsmoker,50,0.00208
t3323,80% Male,Nonsmoker,51,0.00224
t3323,80% Male,Nonsmoker,52,0.00244
t3323,80% Male,Nonsmoker,53,0.00268
t3323,80% Male,Nonsmoker,54,0.00294
t3323,80% Male,Nonsmoker,55,0.00319
t3323,80% Male,Nonsmoker,56,0.00343
t3323,80% Male,Nonsmoker,57,0.00366
t3323,80% Male,Nonsmoker,58,0.0039
t3323,80% Male,Nonsmoker,59,0.00417
t3323,80% Male,Nonsmoker,60,0.0045
t3323,80% Male,Nonsmoker,61,0.00494
t3323,80% Male,Nonsmoker,62,0.00548
t3323,80% Male,Nonsmoker,63,0.00608
t3323,80% Male,Nonsmoker,64,0.00676
t3323,80% Male,Nonsmoker,65,0.00749
t3323,80% Male,Nonsmoker,66,0.00828
t3323,80% Male,Nonsmoker,67,0.00913
t3323,80% Male,Nonsmoker,68,0.01006
t3323,80% Male,Nonsmoker,69,0.01112
t3323,80% Male,Nonsmoker,70,0.01236
t3323,80% Male,Nonsmoker,71,0.01383
t3323,80% Male,Nonsmoker,72,0.01559
t3323,80% Male,Nonsmoker,73,0.01764
t3323,80% Male,Nonsmoker,74,0.01997
t3323,80% Male,Nonsmoker,75,0.02259
t3323,80% Male,Nonsmoker,76,0.02548
t3323,80% Male,Nonsmoker,77,0.02868
t3323,80% Male,Nonsmoker,78,0.03225
t3323,80% Male,Nonsmoker,79,0.03636
t3323,80% Male,Nonsmoker,80,0.04114
t3323,80% Male,Nonsmoker,81,0.04672
t3323,80% Male,Nonsmoker,82,0.05284
t3323,80% Male,Nonsmoker,83,0.05989
t3323,80% Male,Nonsmoker,84,0.06812
t3323,80% Male,Nonsmoker,85,0.07813
t3323,80% Male,Nonsmoker,86,0.08922
t3323,80% Male,Nonsmoker,87,0.10192
t3323,80% Male,Nonsmoker,88,0.11636
t3323,80% Male,Nonsmoker,89,0.13209
t3323,80% Male,Nonsmoker,90,0.14894
t3323,80% Male,Nonsmoker,91,0.16635
t3323,80% Male,Nonsmoker,92,0.18401
t3323,80% Male,Nonsmoker,93,0.20176
t3323,80% Male,Nonsmoker,94,0.21865
t3323,80% Male,Nonsmoker,95,0.23434
t3323,80% Male,Nonsmoker,96,0.25408
t3323,80% Male,Nonsmoker,97,0.27525
t3323,80% Male,Nonsmoker,98,0.29829
t3323,80% Male,Nonsmoker,99,0.32271
t3323,80% Male,Nonsmoker,100,0.34807
t3323,80% Male,Nonsmoker,101,0.37106
t3323,80% Male,Nonsmoker,102,0.39396
t3323,80% Male,Nonsmoker,103,0.41633
t3323,80% Male,Nonsmoker,104,0.43779
t3323,80% Male,Nonsmoker,105,0.45793
t3323,80% Male,Nonsmoker,106,0.47636
t3323,80% Male,Nonsmoker,107,0.50228
t3323,80% Male,Nonsmoker,108,0.5296
t3323,80% Male,Nonsmoker,109,0.55841
t3323,80% Male,Nonsmoker,110,0.58878
t3323,80% Male,Nonsmoker,111,0.62081
t3323,80% Male,Nonsmoker,112,0.65458
t3323,80% Male,Nonsmoker,113,0.69019
t3323,80% Male,Nonsmoker,114,0.72773
t3323,80% Male,Nonsmoker,115,0.76733
t3323,80% Male,Nonsmoker,116,0.80906
t3323,80% Male,Nonsmoker,117,0.85307
t3323,80% Male,Nonsmoker,118,0.89948
t3323,80% Male,Nonsmoker,119,0.94841
t3323,80% Male,Nonsmoker,120,1
t3329,20% Male,Smoker,18,4.3e-4
t3329,20% Male,Smoker,19,4.4e-4
t3329,20% Male,Smoker,20,4.4e-4
t3329,20% Male,Smoker,21,4.5e-4
t3329,20% Male,Smoker,22,4.6e-4
t3329,20% Male,Smoker,23,4.8e-4
t3329,20% Male,Smoker,24,5.2e-4
t3329,20% Male,Smoker,25,5.4e-4
t3329,20% Male,Smoker,26,5.4e-4
t3329,20% Male,Smoker,27,5.3e-4
t3329,20% Male,Smoker,28,5.4e-4
t3329,20% Male,Smoker,29,5.5e-4
t3329,20% Male,Smoker,30,5.8e-4
t3329,20% Male,Smoker,31,6.2e-4
t3329,20% Male,Smoker,32,6.5e-4
t3329,20% Male,Smoker,33,7.1e-4
t3329,20% Male,Smoker,34,8.8e-4
t3329,20% Male,Smoker,35,9.7e-4
t3329,20% Male,Smoker,36,0.00112
t3329,20% Male,Smoker,37,0.00131
t3329,20% Male,Smoker,38,0.00147
t3329,20% Male,Smoker,39,0.00163
t3329,20% Male,Smoker,40,0.00178
t3329,20% Male,Smoker,41,0.00192
t3329,20% Male,Smoker,42,0.00205
t3329,20% Male,Smoker,43,0.00219
t3329,20% Male,Smoker,44,0.00231
t3329,20% Male,Smoker,45,0.00245
t3329,20% Male,Smoker,46,0.00266
t3329,20% Male,Smoker,47,0.00289
t3329,20% Male,Smoker,48,0.00315
t3329,20% Male,Smoker,49,0.00343
t3329,20% Male,Smoker,50,0.00374
t3329,20% Male,Smoker,51,0.0041
t3329,20% Male,Smoker,52,0.0045
t3329,20% Male,Smoker,53,0.00493
t3329,20% Male,Smoker,54,0.00542
t3329,20% Male,Smoker,55,0.00596
t3329,20% Male,Smoker,56,0.00657
t3329,20% Male,Smoker,57,0.00727
t3329,20% Male,Smoker,58,0.00805
t3329,20% Male,Smoker,59,0.00892
t3329,20% Male,Smoker,60,0.0099
t3329,20% Male,Smoker,61,0.011
t3329,20% Male,Smoker,62,0.01222
t3329,20% Male,Smoker,63,0.01355
t3329,20% Male,Smoker,64,0.01501
t3329,20% Male,Smoker,65,0.01661
t3329,20% Male,Smoker,66,0.01832
t3329,20% Male,Smoker,67,0.02014
t3329,20% Male,Smoker,68,0.02206
t3329,20% Male,Smoker,69,0.02409
t3329,20% Male,Smoker,70,0.02634
t3329,20% Male,Smoker,71,0.02885
t3329,20% Male,Smoker,72,0.03138
t3329,20% Male,Smoker,73,0.03418
t3329,20% Male,Smoker,74,0.03717
t3329,20% Male,Smoker,75,0.04043
t3329,20% Male,Smoker,76,0.04391
t3329,20% Male,Smoker,77,0.04771
t3329,20% Male,Smoker,78,0.05179
t3329,20% Male,Smoker,79,0.05625
t3329,20% Male,Smoker,80,0.06197
t3329,20% Male,Smoker,81,0.06873
t3329,20% Male,Smoker,82,0.07629
t3329,20% Male,Smoker,83,0.08521
